gene,factorName,resTime
LSR1,Fkh1,0.138710167724639
LSR1,Rap1,4.776712360135
RDN5-1,Fkh1,5.83227742173671
RDN5-3,Rap1,2.747785530907
RDN5-4,Fkh1,10.8956580406354
RDN5-5,Fkh1,6.24158832651747
RDN5-5,Rap1,6.07140206042619
RDN5-6,Fkh1,12.0293121093128
RDN5-6,Rap1,2.90101163173532
snR11,Rap1,0.45013734116219
snR13,Fkh1,13.125435992148
snR17a,Rap1,3.55714360745411
snR17b,Rap1,2.88220908293291
snR190,Rap1,3.96852115529431
snR24,Rap1,2.70944222906852
snR37,Fkh1,0.821403923910111
snR40,Rap1,5.58169828769755
snR42,Rap1,1.05256862921976
snR43,Rap1,3.40340637137598
snR45,Rap1,1.03245867124502
snR47,Fkh1,7.73918094834207
snR49,Fkh1,4.74624702434499
snR52,Rap1,1.32786557437687
snR56,Fkh1,2.08334676615426
snR56,Rap1,2.13300871739471
snR6,Fkh1,1.94740165434337
snR61,Rap1,1.45041150804468
snR69,Fkh1,3.99848937961604
snR72,Fkh1,7.05875468764942
snR74,Fkh1,0.918056417256594
snR76,Rap1,2.24936373997827
snR77,Fkh1,2.23342208950412
snR87,Rap1,1.39546768164845
YAL001C,Fkh1,16.0469087717719
YAL002W,Rap1,0.11033510020934
YAL004W,Rap1,13.2707207152089
YAL005C,Fkh1,3.66350779267848
YAL005C,Rap1,2.12399471780261
YAL028W,Fkh1,0.937075413297862
YAL034W-A,Fkh1,0.914806043496355
YAL038W,Rap1,2.0738113171584
YAL039C,Rap1,0.7987603074871
YAL051W,Rap1,2.08724156286507
YAL054C,Rap1,1.58360188876898
YAL067W-A,Rap1,5.94676138493445
YAL068W-A,Fkh1,8.8341364042308
YAL068W-A,Rap1,5.46291930468456
YAR010C,Rap1,4.13159472201282
YAR035W,Rap1,0.53979828581214
YAR064W,Rap1,0.571233897469938
YBL013W,Rap1,3.28629279917829
YBL014C,Fkh1,6.40597875976434
YBL015W,Rap1,5.9999510852656
YBL022C,Rap1,1.67211976226427
YBL028C,Rap1,2.30329284826424
YBL029C-A,Rap1,1.82256794728675
YBL029W,Fkh1,12.511928544188
YBL032W,Rap1,7.02283363643217
YBL038W,Fkh1,12.8855158962559
YBL052C,Fkh1,0.656992290401831
YBL059W,Fkh1,0.13466659723781
YBL060W,Rap1,0.714853693498299
YBL071C-B,Rap1,3.84628949155202
YBL080C,Fkh1,0.736588314641267
YBL082C,Rap1,2.1051736398061
YBL085W,Fkh1,0.519095949130133
YBL087C,Rap1,2.34676473765944
YBL093C,Rap1,3.65316665691833
YBL100W-A,Fkh1,0.641745518893003
YBL109W,Fkh1,7.02116179764255
YBL112C,Rap1,2.06360524078956
YBL113W-A,Rap1,1.10900083990727
YBR010W,Fkh1,8.11419926880721
YBR019C,Rap1,4.99665862256121
YBR027C,Rap1,0.945739162620157
YBR032W,Rap1,0.500025092391297
YBR037C,Fkh1,0.934672247152776
YBR040W,Fkh1,0.255428824340925
YBR041W,Fkh1,3.0486698384115
YBR043C,Fkh1,4.32646690430447
YBR044C,Fkh1,0.462292822543532
YBR048W,Fkh1,3.1756706946542
YBR048W,Rap1,2.51478319361563
YBR076C-A,Fkh1,0.978226428385824
YBR077C,Rap1,0.886753598228097
YBR078W,Fkh1,11.0355362025282
YBR082C,Rap1,0.136295825242996
YBR085W,Rap1,2.46542200208311
YBR090C,Rap1,1.23616655806693
YBR101C,Fkh1,3.74164418026399
YBR106W,Rap1,8.49337932069663
YBR108W,Rap1,0.785349442157894
YBR114W,Rap1,1.15890035341018
YBR118W,Rap1,3.99154999150571
YBR119W,Fkh1,2.44327873735931
YBR119W,Rap1,1.69737307707107
YBR135W,Rap1,2.85422630243593
YBR150C,Fkh1,4.3970740447792
YBR150C,Rap1,0.453303414164111
YBR153W,Rap1,1.36911961149099
YBR161W,Fkh1,0.117487361654639
YBR162W-A,Fkh1,4.89258972442218
