"","gene","decay60","synthesis60","halfLife60","decay20","synthesis20","halfLife20"
"1","YDL243C",0.00148052108946285,0.132910942665182,0.0208079044449119,0.000950910601619228,0.140863085903119,0.0323968849498174
"2","YDR387C",0.00191106348247139,0.100086968504926,0.0161201036181073,0.000697379241339469,0.0649384825770781,0.0441747323867127
"3","YDR438W",0.00135089643626536,0.0339663558424471,0.022804517453156,0.000688181485497676,0.0300930171964114,0.0447651411835662
"4","YDL189W",0.0013461509763097,0.0751878723500719,0.0228849080826521,0.00120980741966477,0.0776893763450151,0.0254640043179402
"5","YDR508C",NA,NA,NA,NA,NA,NA
"6","YDR462W",NA,NA,NA,NA,NA,NA
"7","YDR175C",0.00196640563093928,0.29157979995977,0.0156664224682395,0.00100424778799352,0.220769302671256,0.0306762352145888
"8","YDR186C",NA,NA,NA,NA,NA,NA
"9","YDR150W",NA,NA,NA,NA,NA,NA
"10","YDL182W",NA,NA,NA,NA,NA,NA
"11","YDR362C",0.00107540996752554,0.09035496564664,0.0286463230660805,0.00138953771379016,0.0859602118299552,0.0221703528104974
"12","YDR232W",NA,NA,NA,NA,NA,NA
"13","YDR158W",0.000398052272861093,0.626747229135268,0.0773932055124083,0.000301993332412354,0.524686430011364,0.102010667295645
"14","YDL206W",0.00171136502955349,0.0612824741212828,0.0180011516106868,0.000826419840885694,0.0328291262736476,0.0372771076323672
"15","YDR125C",0.00164168015525839,0.0380405419701169,0.0187652517206502,0.00132971439109945,0.0429260498260242,0.0231677881840084
"16","YDR338C",0.00223903622958683,0.143496000603928,0.0137588400540998,0.00193718643052121,0.142298432340717,0.0159027241120676
"17","YDR533C",NA,NA,NA,NA,NA,NA
"18","YDR272W",0.00113124127797567,0.230535320559291,0.027232511717878,0.000247678360992935,0.170372421999194,0.124381238775634
"19","YDR512C",0.00122164020427047,0.0439063332971826,0.0252173604392928,0.000526052984255284,0.0514321738558517,0.0585616701744058
"20","YDR299W",NA,NA,NA,NA,NA,NA
"21","YDL015C",0.00120205409843445,0.368865318949455,0.0256282486772785,0.000925759407826125,0.3100177772743,0.0332770491963565
"22","YDR304C",0.000804077306273493,0.221641652318908,0.038312909863099,0.000235554604486996,0.189128312816901,0.130783014941745
"23","YDL181W",NA,NA,NA,NA,NA,NA
"24","YDR367W",0.00315783433274304,0.341565833411205,0.00975559136804363,0.00149598540452477,0.188092837664487,0.0205928087700869
"25","YDR085C",NA,NA,NA,NA,NA,NA
"26","YDL097C",NA,NA,NA,NA,NA,NA
"27","YDR200C",NA,NA,NA,NA,NA,NA
"28","YDR451C",NA,NA,NA,NA,NA,NA
"29","YDR469W",0.00123093244091696,0.0760356022617194,0.0250269960675268,0.000768223113593259,0.0847419658212066,0.0401010342088334
"30","YDR470C",NA,NA,NA,NA,NA,NA
"31","YDR105C",0.00130150462072735,0.126125623557732,0.0236699439000097,0.000682032524525076,0.111164321108201,0.0451687276639358
"32","YDR483W",NA,NA,NA,NA,NA,NA
"33","YDR505C",0.0015986832262358,0.490873073343753,0.019269947199456,0.000929791912896019,0.371429761687368,0.0331327267219036
"34","YDL045W-A",NA,NA,NA,NA,NA,NA
"35","YDL045C",0.0018340060741194,0.12256353278684,0.0167974042141663,0.00132987827420682,0.130900686713553,0.0231649331790113
"36","YDR361C",0.00104383352986156,0.234068531457278,0.0295128873301336,0.000462565073853226,0.187162188795552,0.0665993675259513
"37","YDR266C",NA,NA,NA,NA,NA,NA
"38","YDR002W",0.000596332369866443,0.465478884696105,0.05166001866563,0.000258132180543564,0.435438437397738,0.119344055798656
"39","YDR214W",NA,NA,NA,NA,NA,NA
"40","YDR358W",0.00201970958499268,0.143174846960192,0.0152529559631374,0.00155063658078068,0.123369130150991,0.0198670286384641
"41","YDR460W",0.00161682023810855,0.121610020670295,0.0190537826235148,0.000971857347105404,0.0977224440135656,0.0316986247518471
"42","snR84",0.000425699580011216,0.344777173311073,0.0723668587068095,NA,NA,NA
"43","YDR034W-B",0.00190144826649066,0.0112367849256678,0.0162016195239836,0.00207870748803032,0.0213726321060377,0.0148200463680489
"44","YDR061W",0.00138164881341254,0.233915236763286,0.0222969404809393,0.00031286814111076,0.166348208917386,0.0984649355758912
"45","YDR060W",0.00116764440402005,1.03473431608043,0.0263834959103618,0.000571861180933485,0.818089250015179,0.0538706636948715
"46","YDR422C",NA,NA,NA,NA,NA,NA
"47","YDR119W",0.000869918065340772,0.373059179454149,0.0354131527848568,0.000442787880955006,0.328145118541779,0.0695740391353443
"48","YDR097C",0.00139136857327297,0.226138478506368,0.022141179519207,0.000499845644086157,0.224070013544875,0.0616321092775388
"49","YDL160C",NA,NA,NA,NA,NA,NA
"50","YDR228C",NA,NA,NA,NA,NA,NA
"51","YDR319C",0.00115530943380991,0.101208694765652,0.0266651863619151,0.000630266742240772,0.0760780820463918,0.0488785767890815
"52","YDR471W",0.00111631088811816,1.00903277194033,0.027596740017606,0.00138860866640663,1.31750137026188,0.022185185865172
