"","TBP","TFIIA","TFIIB","TFIIE","TFIIF"
"YOR142W",0.914806043496355,3.54964705547781,4.73704210809648,7.73294221507407,1.48415176984683
"YEL035C",0.937075413297862,0.0964060225524008,4.315197535,11.3027992584958,8.075974163
"YHL040C",0.286139534786344,3.34034285665053,4.43443814764138,8.13422915626496,0.418768102535978
"YHR020W",0.830447626067325,3.33249596376594,34.71049439,10.34051315,7.81552897
"YLL026W",0.641745518893003,2.9573778070692,4.153841323,14.4895606,0.246726162033156
"YOL004W",0.519095949130133,0.832543320721015,10.30086077,9.666048004,5.848411743
"YJL165C",0.736588314641267,0.187964247306809,0.143482158426195,7.106783456,2.04133170995494
"YGR211W",0.13466659723781,0.894379019737244,0.194945486262441,13.4982691,0.84254258684814
"YBR150C",0.656992290401831,5.019432966,3.769551388,4.452739741,1.2278659899367
"YCL057W",0.705064784036949,2.725718847,5.012293808,13.83372566,0.369733549887314
"YBR109C",0.45774177624844,2.095646501,3.59854696697308,10.43548063,2.0740060235693
"YLR348C",0.719112251652405,3.11363929831661,0.621611561626196,8.56887489194835,1.81074292374905
"YOR141C",0.934672247152776,2.537398408,5.244073379,10.67947093,1.192419472
"YHR051W",0.255428824340925,2.28445749326937,5.514673191,18.30130629,0.986074142390862
"YNR003W-A",0.462292822543532,3.34606473713896,0.486183306667954,7.162179446,0.508364361943677
"YJL078C",0.940014522755519,2.691581628,19.61991168,18.89096904,1.88351091303386
"YOR293W",0.978226428385824,0.796487630344927,9.632783854,16.61533737,9.108864756
"YGR155W",0.117487361654639,2.404158997,3.21353170986938,11.48113622,2.27348240159457
"YPL003W",0.474997081561014,2.9279977617683,5.457765088,13.46919763,0.699793834937736
"YLR008C",0.560332746244967,0.373497000895441,7.487896996,11.16541694,7.003303686
"YJR057W",0.904031387297437,3.80489870353715,6.815973452,6.337653991,1.29295579017456
"YJL100W",0.138710167724639,3.15518188862734,4.16673954169152,8.48922766514477,0.698608307400718
"YDR264C",0.988891728920862,0.452525863656774,11.9729813,4.940225197,1.36375466506283
"YPR190C",0.946668232558295,3.14878281011217,9.058543416,15.34237173,0.851533210836351
"YDR009W",0.0824375580996275,0.342672306811437,1.331814058,11.47845321,0.574516772758216
"YCL057C-A",0.514211784349754,2.725718847,5.012293808,13.83372566,0.713651943486184
"YER178W",0.390203467104584,2.0294218541137,2.924916183,9.438029936,6.519604146
"YOR136W",0.905738130910322,0.224782983539626,0.646652728319168,16.76309572,0.78255502297543
"YGR035C",0.446969628101215,5.162252035,4.85698535220678,6.000467168,1.728789614
"YOL101C",0.836004259996116,3.84520462904527,0.456037433585152,2.678435127,1.26276467888219
"YDR127W",0.737595617771149,0.76084458315745,8.733012446,19.06085019,7.707717202
"YKL213C",0.811055141268298,0.199178226990625,7.983317107,10.80935474,6.615811577
"YPL231W",0.388108282815665,4.452704643,0.6864322014153,10.12425716,0.76034359773621
"YAL060W",0.685169729404151,3.40465010998219,5.552321994,8.01093654612891,1.59276158002552
"YBL005W-A",0.00394833879545331,2.9544082370253,0.342542668338865,8.87415947718926,0.280750285368413
"YBL005W-B",0.832916080253199,3.67639461634408,4.92028885666174,7.48993638294835,0.745879874099046
"YER163C",0.00733414688147604,2.60840771657405,3.435562132,10.05821095,2.18918611096084
