Locus,resTime,pol,
YLR314C,1.639,Pol II,
YBL071W-A,16.453,Pol II,
YER133W,12.849,Pol II,
YIL046W,8.757,Pol II,
YPL045W,10.739,Pol II,
YER037W,2.667,Pol II,
YHR113W,1.946,Pol II,
YDL133W,2.791,Pol II,
YOR108W,3.955,Pol II,
YDR501W,4.28,Pol II,
YBL047C,2.258,Pol II,
YDR233C,1.725,Pol II,
YGL117W,3.855,Pol II,
YPR133C,1.838,Pol II,
YLR350W,1.572,Pol II,
YPL161C,1.451,Pol II,
YPL273W,2.571,Pol II,
YBL026W,15.591,Pol II,
YPR140W,2.688,Pol II,
YOR094W,4.367,Pol II,
YHR089C,9.111,Pol II,
YBR143C,1.435,Pol II,
YMR281W,4.846,Pol II,
YNL277W,3.71,Pol II,
YHL001W,1.77,Pol II,
YLL049W,1.653,Pol II,
YBL061C,2.926,Pol II,
YIL128W,1.522,Pol II,
tA(UGC)G,6.457,Pol III,
YEL043W,1.374,Pol II,
YKR013W,2.156,Pol II,
YKL190W,5.733,Pol II,
YGR279C,1.748,Pol II,
YML057W,1.995,Pol II,
YJL176C,2.998,Pol II,
YMR230W,1.98,Pol II,
YPL211W,2.971,Pol II,
YMR158W,18.504,Pol II,
YLR224W,3.08,Pol II,
YBR089C-A,2.642,Pol II,
YHR143W,6.009,Pol II,
YPR017C,5.035,Pol II,
YBL091C-A,5.853,Pol II,
YFL031W,2.426,Pol II,
YOL103W,1.693,Pol II,
YEL047C,3.089,Pol II,
YDL235C,5.115,Pol II,
tK(CUU)M,11.343,Pol III,
YOR119C,2.016,Pol II,
YLR405W,13.316,Pol II,
YPL203W,5.068,Pol II,
YER151C,7.166,Pol II,
YLR203C,4.086,Pol II,
YLR418C,2.109,Pol II,
YER130C,2.429,Pol II,
YBR017C,7.872,Pol II,
YPL054W,3.252,Pol II,
YNL307C,1.774,Pol II,
YGL148W,2.611,Pol II,
YDR129C,2.708,Pol II,
YJL173C,12.389,Pol II,
YOL071W,1.976,Pol II,
YFR006W,2.349,Pol II,
YHL038C,2.438,Pol II,
YLR197W,9.286,Pol II,
YMR108W,2.869,Pol II,
YLL010C,14.338,Pol II,
YDL148C,1.546,Pol II,
YNR036C,2.016,Pol II,
YML113W,2.806,Pol II,
YOR373W,2.369,Pol II,
YER054C,2.451,Pol II,
YDR212W,3.29,Pol II,
YLL033W,2.153,Pol II,
YMR150C,4.137,Pol II,
YCR015C,5.608,Pol II,
YCR075W-A,5.766,Pol II,
YNR027W,4.287,Pol II,
YBR115C,3.106,Pol II,
YIL040W,6.013,Pol II,
YDL160C,1.494,Pol II,
YKL035W,1.465,Pol II,
YOR321W,2.324,Pol II,
YBR138C,1.409,Pol II,
YDR503C,5.455,Pol II,
YNL112W,4.417,Pol II,
YNL206C,1.515,Pol II,
YGL016W,2.869,Pol II,
YPR035W,3.134,Pol II,
YGR266W,3.369,Pol II,
YDL081C,4.611,Pol II,
tE(UUC)K,6.969,Pol III,
YNR047W,3.771,Pol II,
YDR321W,1.364,Pol II,
YGR270W,3.086,Pol II,
YDR462W,2.452,Pol II,
YOR280C,3.479,Pol II,
YHR013C,20.049,Pol II,
tA(UGC)A,4.304,Pol III,
YHR049W,3.114,Pol II,
tR(UCU)K,6.271,Pol III,
YDL028C,2.543,Pol II,
YHR073W,3.268,Pol II,
YAL049C,3.312,Pol II,
YOR281C,1.722,Pol II,
YOR095C,4.377,Pol II,
YMR231W,6.003,Pol II,
YLR409C,9.086,Pol II,
tR(ACG)O,9.077,Pol III,
YGR208W,1.941,Pol II,
YGR103W,2.912,Pol II,
YOL017W,2.421,Pol II,
YGR152C,5.508,Pol II,
YJL131C,3.25,Pol II,
YGR191W,4.845,Pol II,
YDL170W,3.387,Pol II,
YER086W,1.44,Pol II,
YDR297W,1.548,Pol II,
YJL063C,4.69,Pol II,
YDR421W,5.531,Pol II,
YML075C,2.961,Pol II,
YGR063C,4.179,Pol II,
YOR247W,15.221,Pol II,
YMR192W,10.252,Pol II,
YOR033C,6.167,Pol II,
YMR287C,1.905,Pol II,
YER112W,4.867,Pol II,
YOR059C,3.017,Pol II,
YLR194C,3.862,Pol II,
YNL148C,2.151,Pol II,
YJR033C,1.637,Pol II,
YKR100C,4.67,Pol II,
YIL093C,16.188,Pol II,
YLR073C,4.775,Pol II,
YFR018C,8.147,Pol II,
YPR011C,2.218,Pol II,
YDR496C,2.671,Pol II,
YHL039W,4.181,Pol II,
YJR116W,2.451,Pol II,
YJR044C,13.52,Pol II,
YDR528W,1.824,Pol II,
YKR007W,4.013,Pol II,
tG(GCC)C,8.911,Pol III,
YNL218W,1.857,Pol II,
YMR201C,2.435,Pol II,
tV(AAC)M3,5.439,Pol III,
YNL293W,2.054,Pol II,
YGL029W,18.604,Pol II,
YIL120W,6.608,Pol II,
tL(UAG)L1,6.338,Pol III,
YKR084C,4.512,Pol II,
YJR013W,4.245,Pol II,
YDR039C,4.568,Pol II,
YPR158W,2.903,Pol II,
YDL106C,1.959,Pol II,
YJL103C,2.647,Pol II,
YLR225C,1.492,Pol II,
YLR064W,4.851,Pol II,
YJR015W,7.216,Pol II,
YPL128C,6.952,Pol II,
YIL087C,2.116,Pol II,
YFR037C,6.447,Pol II,
YHR137W,3.63,Pol II,
YFR055W,3.815,Pol II,
YJL033W,3.104,Pol II,
tK(CUU)G2,2.988,Pol III,
tV(UAC)D,3.45,Pol III,
YLL034C,5.243,Pol II,
