Locus,resTime,pol,
YMR251W-A,2.104,Pol II,
YMR070W,2.132,Pol II,
YFR039C,5.336,Pol II,
YML009C,2.156,Pol II,
YDL130W,1.644,Pol II,
tR(UCU)M2,6.07,Pol III,
YMR013C,5.289,Pol II,
snR66,19.729,Pol II,
tD(GUC)K,29.905,Pol III,
YMR015C,1.699,Pol II,
YGL125W,3.433,Pol II,
tE(UUC)G2,8.452,Pol III,
YLL027W,1.896,Pol II,
tW(CCA)K,5.816,Pol III,
tS(AGA)E,4.541,Pol III,
YBL002W,3.062,Pol II,
tL(CAA)G1,5.952,Pol III,
YML055W,12.038,Pol II,
tK(UUU)K,16.101,Pol III,
YFR040W,3.424,Pol II,
YKL081W,4.223,Pol II,
YLR354C,1.975,Pol II,
tF(GAA)P1,3.753,Pol III,
tE(UUC)M,10.941,Pol III,
tS(AGA)J,12.797,Pol III,
YDR387C,1.335,Pol II,
YOR239W,1.689,Pol II,
YDR418W,1.737,Pol II,
YLR270W,1.621,Pol II,
tH(GUG)H,11.796,Pol III,
tI(AAU)L2,14.674,Pol III,
YDR350C,2.152,Pol II,
YMR238W,4.112,Pol II,
tA(UGC)O,8.238,Pol III,
YPL204W,1.791,Pol II,
tG(CCC)O,5.932,Pol III,
YER074W,2.761,Pol II,
YJR103W,1.383,Pol II,
YEL061C,1.864,Pol II,
YOL123W,1.937,Pol II,
tT(AGU)H,11.708,Pol III,
tA(UGC)E,6.087,Pol III,
YOR101W,6.938,Pol II,
YGL076C,2.231,Pol II,
YLL026W,1.478,Pol II,
YBR230C,1.385,Pol II,
tY(GUA)J2,5.9,Pol III,
YDL229W,2.853,Pol II,
YGR074W,2.71,Pol II,
YDL061C,2.928,Pol II,
YOR145C,1.688,Pol II,
tM(CAU)D,19.185,Pol III,
tR(CCG)L,11.556,Pol III,
tS(GCU)O,5.949,Pol III,
YDR245W,2.942,Pol II,
tE(UUC)E3,18.284,Pol III,
YPL213W,2.35,Pol II,
YBL092W,2.133,Pol II,
YOR042W,1.825,Pol II,
YEL050C,1.858,Pol II,
YDL033C,5.812,Pol II,
YBL093C,14.06,Pol II,
YML106W,1.414,Pol II,
tG(GCC)D2,11.568,Pol III,
YOR312C,1.74,Pol II,
YCL010C,3.011,Pol II,
YLR173W,3.703,Pol II,
tA(AGC)G,3.694,Pol III,
YML129C,2.162,Pol II,
YGR148C,2.713,Pol II,
YBR023C,9.101,Pol II,
tS(AGA)L,6.023,Pol III,
YGL252C,1.534,Pol II,
YNL024C,2.779,Pol II,
snR39B,2.916,Pol II,
YDR073W,2.347,Pol II,
YMR022W,3.804,Pol II,
YPL183W-A,2.026,Pol II,
YOR096W,2.33,Pol II,
tI(AAU)I1,14.085,Pol III,
YBR011C,4.222,Pol II,
YNL177C,11.035,Pol II,
YML073C,6.082,Pol II,
YAL044C,5.441,Pol II,
snR45,2.072,Pol II,
YCL017C,1.749,Pol II,
YER077C,7.765,Pol II,
YPR052C,2.4,Pol II,
YPL233W,3.916,Pol II,
tL(GAG)G,10.09,Pol III,
YCL052C,1.672,Pol II,
YGR034W,17.122,Pol II,
YNL085W,2.131,Pol II,
YEL055C,4.244,Pol II,
tL(CAA)L,7.539,Pol III,
YOR244W,4.698,Pol II,
YDL159W-A,1.556,Pol II,
YOR234C,2.427,Pol II,
snR37,2.46,Pol II,
YOR293W,3.388,Pol II,
tK(CUU)P,16.789,Pol III,
YMR185W,10.369,Pol II,
YGR122W,3.283,Pol II,
YPR041W,7.603,Pol II,
YAL053W,3.277,Pol II,
YHR090C,3.443,Pol II,
tL(UAA)B2,5.585,Pol III,
YDR434W,6.281,Pol II,
YGR121C,2.215,Pol II,
YNL084C,1.971,Pol II,
YLR432W,2.45,Pol II,
YCR026C,4.94,Pol II,
tA(AGC)L,10.898,Pol III,
tS(AGA)G,3.92,Pol III,
snR17a,1.687,Pol II,
tR(UCU)D,5.589,Pol III,
tT(UGU)G2,1.895,Pol III,
YDR292C,5.947,Pol II,
YOR097C,1.532,Pol II,
YBL003C,2.658,Pol II,
YCR063W,5.869,Pol II,
tP(UGG)O3,19.015,Pol III,
YOL012C,2.495,Pol II,
YOR067C,2.603,Pol II,
YEL026W,2.49,Pol II,
YDR025W,7.001,Pol II,
YHR019C,3.857,Pol II,
tE(UUC)G3,16.947,Pol III,
YJL178C,4.007,Pol II,
YDR500C,2.718,Pol II,
YOR196C,8.044,Pol II,
YKL145W,1.608,Pol II,
YIL109C,2.801,Pol II,
YPL131W,2.207,Pol II,
tL(CAA)C,10.241,Pol III,
tV(CAC)D,9.262,Pol III,
YOR327C,2.409,Pol II,
YNL078W,5.189,Pol II,
YLR301W,4.634,Pol II,
YPL198W,1.617,Pol II,
YER056C-A,4.105,Pol II,
YIL130W,3.036,Pol II,
tF(GAA)G,5.537,Pol III,
YKL149C,2.623,Pol II,
YDR477W,1.809,Pol II,
YDR362C,3.036,Pol II,
YHR163W,3.575,Pol II,
YCL036W,4.068,Pol II,
tL(CAA)G2,12.583,Pol III,
YHR072W-A,2.295,Pol II,
tT(AGU)D,5.357,Pol III,
YNR043W,5.248,Pol II,
YNL025C,4.465,Pol II,
YIL090W,6.574,Pol II,
YLR056W,2.088,Pol II,
YDL120W,1.885,Pol II,
YOR014W,2.267,Pol II,
YEL034W,2.423,Pol II,
YDR346C,2.676,Pol II,
YOR220W,2.607,Pol II,
YDL015C,7.523,Pol II,
YMR123W,4.469,Pol II,
tL(CAA)K,5.633,Pol III,
tY(GUA)O,5.316,Pol III,
snR84,5.837,Pol II,
YBR049C,6.092,Pol II,
YNL052W,1.51,Pol II,
YIL075C,1.723,Pol II,
YBR015C,2.976,Pol II,
YGL056C,5.759,Pol II,
tG(UCC)N,5.654,Pol III,
YGR037C,2.313,Pol II,
YGR033C,2.418,Pol II,
YBL086C,2.533,Pol II,
YDL136W,3.128,Pol II,
YNL268W,2.681,Pol II,
YIR014W,2.799,Pol II,
YMR194W,3.954,Pol II,
YDL014W,3.564,Pol II,
YGL031C,4.142,Pol II,
YLR351C,2.74,Pol II,
YHR207C,7.439,Pol II,
YLR326W,10.819,Pol II,
YPR106W,3.419,Pol II,
YPL097W,1.357,Pol II,
YBL038W,4.067,Pol II,
YMR001C-A,4.937,Pol II,
YJL026W,2.166,Pol II,
YHR120W,1.596,Pol II,
YDR236C,2.605,Pol II,
YNR052C,3.534,Pol II,
YJL149W,1.869,Pol II,
YDR463W,1.493,Pol II,
YKL024C,5.709,Pol II,
YBL072C,2.699,Pol II,
tH(GUG)E1,3.522,Pol III,
YML027W,3.816,Pol II,
YFL038C,1.531,Pol II,
YPL090C,2.734,Pol II,
snR83,3.811,Pol II,
YPR082C,3.36,Pol II,
YER049W,13.759,Pol II,
YBL028C,8.007,Pol II,
YOR262W,1.801,Pol II,
YBR068C,1.646,Pol II,
