"","L2","L4","L6","L8","U2","U4","U6","U8","T2","T4","T6","T8"
"YDL246C",38.5291419780821,2.72040000761712,22.5890206729402,37.5765622455754,0,4.59803033517671,0,2.31148135905858,1.79106348872302,8.5851581347105,3.01414424865484,3.66844922728703
"YDL243C",1117.74646259332,1107.20280310017,556.752921291879,844.776788261639,7.58160651714896,11.1666450997149,2.88862891228678,2.7737776308703,164.777840962518,127.99690309932,92.3081676150546,115.556150659541
"YDR387C",726.836209607362,609.369601706235,395.972244737423,533.030494076125,8.84520760334046,17.735259864253,6.93270938948828,2.7737776308703,130.74763467678,68.681265077684,59.7805275983211,59.3065958411403
"YDL094C",10.4349759523972,13.6020000380856,11.9588932974389,5.56689811045561,0,0,0,0,0.895531744361508,0,1.38148278063347,1.22281640909568
"YDR438W",315.858695174486,270.679800757903,172.739569851896,201.800056504016,4.42260380167023,5.25489181163052,0.577725782457357,1.38688881543515,56.418499894775,33.5601636175047,31.0205678924061,29.3475938182962
"YDR523C",15.2511186996575,13.6020000380856,3.98629776581298,11.1337962209112,0,0.656861476453815,0,0.924592543623432,1.79106348872302,0.780468921337318,0.753536062163711,3.66844922728703
"YDR542W",0.401345228938356,0,0,0,0,0,0,0,0,0,0,0
"YDR492W",725.230828691609,560.402401569127,253.794291090093,388.291143204279,2.52720217238299,7.22547624099197,0,1.84918508724686,14.3285079097841,24.1945365614569,7.53536062163711,11.0053476818611
"YDR018C",119.60087822363,103.375200289451,45.1780413458804,55.6689811045561,2.52720217238299,5.25489181163052,1.15545156491471,0,1.79106348872302,4.68281352802391,3.76768031081855,3.05704102273919
"YDL189W",581.147891502739,576.724801614829,221.903908963589,672.202946837515,1.89540162928724,13.7940910055301,0.577725782457357,3.23607390268201,57.3140316391365,67.9007961563467,38.1791604829614,80.0944747957667
"YDR508C",4866.7122461065,3121.65900874065,4310.51665076577,5628.13398967062,34.1172293271703,39.4116885872289,21.3758539509222,24.9639986778327,282.988031218237,177.166445143571,375.386548301222,422.483069342556
"YDR462W",545.829511356164,481.51080134823,269.739482153345,449.52702241929,1.89540162928724,5.25489181163052,1.15545156491471,0.924592543623432,17.0151031428687,6.24375137069854,17.3313294297654,7.33689845457405
"YDR175C",1723.3764130613,1579.19220442174,969.999123014492,1625.53424825304,44.857838559798,133.342879720124,41.5962563369297,44.8427383657365,206.867832947508,223.99458042381,133.878240377753,188.313727000734
"YDR186C",1900.77100425205,1209.21780338581,1016.50593028231,1571.2569916761,10.1088086895319,5.25489181163052,2.31090312982943,4.16066644630544,60.8961586165826,67.9007961563467,65.180869377161,82.5401076139581
"YDR150W",10840.7359788539,6620.09341853626,4411.50286083303,7362.22275107754,75.8160651714896,131.372295290763,24.8422086456663,34.209924114067,360.899292977688,346.528201073769,452.372815985615,458.556153410878
"YDR243C",851.654575807191,614.810401721469,369.396926298669,626.276037426256,3.79080325857448,1.97058442936145,0,1.38688881543515,60.0006268722211,56.9742312576242,60.1572956294029,45.24420713654
"YDL182W",557.067177766438,297.883800834075,447.794115692991,779.365735463785,0.631800543095747,3.28430738226908,5.77725782457357,6.47214780536402,7.16425395489207,4.68281352802391,14.3171851811105,20.1764707500786
"YDR362C",908.645598316437,523.677001466296,447.794115692991,693.078814751723,0.631800543095747,3.94116885872289,2.88862891228678,3.23607390268201,78.8067935038127,48.3890731229137,54.5057751631751,91.0998224776278
"YDR232W",4750.72347494332,3400.5000095214,2706.69618298701,3799.40796038595,128.887310791532,172.0977068309,61.2389329404798,78.5903662079917,328.660150180674,163.898473480837,190.142266352643,209.10160595536
"YDR158W",6010.94749380975,5213.64661459821,4214.84550438626,5834.10921975748,728.466026189396,1475.31087611527,793.795225096408,1055.88468481796,1937.9306947983,1338.5042000935,1533.57147584685,1634.90553896092
"YDR439W",315.457349945547,235.314600658881,176.725867617709,272.778007412325,2.52720217238299,3.28430738226908,0,0.462296271811716,13.4329761654226,6.24375137069854,9.92155815182219,19.5650625455308
"YDL206W",401.746574167294,276.120600773138,269.739482153345,334.013886627337,3.15900271547873,11.8235065761687,5.19953204211621,1.84918508724686,62.6872221053056,27.3164122468061,37.4256244207976,35.4616758637746
"YDR125C",350.775730092123,301.9644008455,174.068335773833,204.583505559244,1.26360108619149,5.91175328808434,2.31090312982943,2.7737776308703,34.0302062857373,29.6578190108181,19.9687056473383,29.959002022844
"YDR338C",1060.35409485514,848.764802376541,510.246114024061,691.687090224109,2.52720217238299,3.28430738226908,2.31090312982943,0.924592543623432,98.5084918797659,57.7547001789615,72.967408686186,60.5294122502359
"YDR526C",0,5.44080001523424,0,2.7834490552278,0,0,0.577725782457357,0,0,0,0.125589343693952,0
"YDR533C",2646.47043961952,2534.05260709535,1029.79358950169,1842.64327456081,33.4854287840746,48.6077492575823,9.24361251931771,14.3311844261632,162.091245729433,138.923467998043,96.9549733317308,108.219252204967
"YDR272W",1763.91228118407,1462.2150040942,1090.91682191082,1521.154908682,176.272351523713,424.332513789165,75.6820775019137,120.197030671046,822.098141323865,483.1102623078,351.273394311983,355.228166842294
