"","TF","overlap","TFtargetYes_longTFFIFno","longTFFIFyes_TFtargetNo","neither","p","FDR","logFDR"
"82","Taf8",148,65,320,2331,1.00695690611651e-74,7.84307545764079e-73,72.1055136066552
"83","Taf9",139,36,329,2360,4.72041664894703e-83,1.10300402363729e-80,79.9574229032985
"84","TFA1",372,1061,96,1335,1.71413218340038e-46,4.30497602553349e-45,44.3660292627951
"85","Tfa2",402,1480,66,916,1.13336484729031e-26,1.84764827430351e-25,24.733380699278
"86","Tfb1",299,492,169,1904,9.69191142900144e-74,6.17639082884546e-72,71.2092652305738
"87","Tfb2",303,631,165,1765,1.7574881681749e-55,5.35651828648088e-54,53.2711174081222
"88","Tfb3",337,776,131,1620,3.43282144447572e-57,1.09382174208067e-55,54.9610534483304
"89","Tfb4",398,1422,70,974,4.87941772590302e-29,8.55117956464504e-28,27.0679739738002
"90","Tfg1",378,1272,90,1124,8.73380363145949e-31,1.65470171504138e-29,28.781280282968
"91","TOA1",267,464,201,1932,3.18539431691575e-58,1.06331496007521e-56,55.9733380758696
"92","Vps71",44,127,424,2269,0.000813747407298845,0.00713046165645613,2.14688235116344
"93","Ydr1",56,55,412,2341,1.69755822038936e-17,2.28843906248642e-16,15.640460647658
"94","Yng2",20,14,448,2382,1.86858470310463e-08,1.87125410982335e-07,6.72786723280967
"95","Yta7",68,154,400,2242,2.31459411479836e-08,2.25351454788007e-07,6.64713963393485
