gene,resTime,Z_resTime,,
iYPR148C-1,51.22225521,4.533136064,,
YDR095C,39.19472401,2.825887866,,
iYOR316C-1,54.73230866,2.62943171,,
iYJL190C,97.44525818,4.972375613,,
iYGR192C,55.19067163,4.012085783,,
iYHR141C,83.62619226,5.108458046,,
YOR235W,87.13066184,4.138558128,,
iYMR205C,45.2404471,3.130651064,,
YPL080C,95.8131934,5.123053536,,
iYKL006C-A,68.4604116,3.212647688,,
iYOR032C,44.18332687,3.622539453,,
iYGL124C,103.5201831,4.047475959,,
YiR015W,56.63143965,3.202673787,,
iYMR143W,60.83280105,3.391411253,,
iYMR116C,66.13544036,2.407330623,,
iYiL057C,53.13919248,2.950003691,,
iYEL054C,83.96550966,4.019194327,,
iTR(CCG)L,75.83109745,4.546873055,,
iYiL133C,90.73376029,5.294020286,,
iYOR292C,86.03953482,4.433149887,,
iYJL079C,47.67219531,3.712325489,,
iYML064C,92.67620713,5.370645914,,
iYDR099W,40.93157648,2.417581325,,
iYLR074C,92.32352082,3.97677162,,
iYLR390W,60.24814282,2.765833305,,
iYPR079W,78.94651247,4.58103308,,
iYHR009C,101.4208246,5.309842897,,
iYDR259C,53.87687776,2.817416137,,
iYOR179C-1,39.37414637,3.432637927,,
iYCL025C,53.7343723,3.63517177,,
YDR024W,97.24035755,3.406031215,,
iYBL072C,82.85896575,4.245434225,,
iYPR161C,47.27373326,2.0883105,,
iYEL023C,59.16020667,2.620899569,,
iYJL192C,83.32025205,5.460687644,,
iYMR082C-1,47.59658203,2.752860791,,
iYGL136C,79.74943366,4.327215918,,
iYJR094C-1,76.63723184,3.186146289,,
YOR348C,51.50619037,4.861435077,,
iTA(AGC)G,55.80795634,2.308534479,,
iYLR044C,58.41281858,2.668390615,,
iYDL188C,69.4039299,2.882759836,,
iYLR406C,84.89290081,5.79001277,,
iYAL039C-1,57.91366486,2.024889742,,
iYOR369C,95.09284771,5.302071814,,
iYJL178C,127.7687488,4.904091766,,
iYGR253C-1,57.68164324,3.869780614,,
YOL110W,50.54248257,6.227685163,,
iYLR111W,59.19165975,5.388266729,,
iYDR311W,46.87096031,2.520503325,,
iYOR100C,56.43265062,2.835790621,,
iYiL055C,56.8704574,4.092514733,,
iYOL060C,59.51664627,4.756128204,,
iYER080W,50.17557941,2.37762441,,
iYPL249C-A,78.29155305,4.858709602,,
iYGR031W,53.60789151,4.021999739,,
YCL029C,51.53120864,2.06704838,,
iYFR031C-A,99.54634739,4.408204257,,
iYGR050C,49.15192772,4.016475226,,
iYGL031C,103.9380679,5.170016539,,
iYOL086C,58.21669909,4.040117557,,
YPL056C,51.04460747,2.552988526,,
iYPR042C,79.42233909,3.222974019,,
iYBR067C,46.23798506,1.701980477,,
iYNL289W-1,55.62677637,2.247736529,,
iYER033C,47.76692036,2.47604898,,
YBL013W,67.09546033,2.235406341,,
iYNL144C-0,52.01423567,3.687207305,,
iYPL132W,74.41030946,3.629767267,,
iYHR203C,118.5728196,4.466283347,,
iYHL016C,107.6656662,5.046746152,,
iYPL055C,50.12492133,4.223680891,,
iYDR036C,59.6185178,2.60687021,,
YCR025C,63.04689239,4.265062466,,
iYLL039C,56.15540762,3.561398546,,
iYOL136C,57.240113,2.33628902,,
iYFR032C-A,93.34432556,3.306481902,,
iYNR017W,46.64731736,2.949015141,,
iYER056C-A,79.0289804,3.586408399,,
iYPL144W,94.14084336,3.480390494,,
iYKL040C,47.56608618,3.00953255,,
iYNL329C,59.14588842,3.361702184,,
iYDR076W,41.71034783,3.473317634,,
iYNL068C,61.21610694,4.209099854,,
iYiL047C,61.77884779,1.806647686,,
iYER045C-1,53.82245458,3.296504386,,
iYiL052C,95.26678415,3.898914033,,
iYPL221W,55.49129663,3.545615572,,
iYPL199C,63.91031695,3.492069614,,
iYER101C,129.351782,3.101501173,,
iYOL040C,105.7190183,3.920076909,,
iYJL078C,52.93403287,2.284591779,,
iYLR103C,57.6150437,2.379009837,,
YEL045C,49.79400717,4.449368678,,
iYBR196C,44.55496452,2.408608593,,
YEL035C,62.42681237,4.135942628,,
YEL008W,76.73277963,5.499850688,,
iYER088C,46.08184929,3.941177646,,
YGR203W,54.60973318,2.429530083,,
YKL097C,46.29139712,4.767224981,,
iYMR142C,109.7382852,5.27586712,,
iYKL183W,50.21282707,4.660734882,,
iYJR114W,48.29594985,3.905763479,,
iYGR139W,39.73123883,2.015156889,,
YJL096W,38.31496016,2.563814292,,
iYGL076C,76.29825292,3.336240465,,
iYNR013C,34.89538329,2.639545708,,
iYiL013C,32.26552514,2.938713302,,
iYGL147C,60.92083301,3.195518779,,
iYPR008W,46.99357654,2.140202653,,
iYARWDELTA7,50.87138615,2.987839699,,
iYMR016C-1,39.94774515,2.854261079,,
YGL007W,63.92845741,2.195544622,,
iYJR145C,78.05267931,4.312958433,,
iYMR008C,40.86160118,1.889153411,,
YPL067C,63.58939766,3.261239138,,
iYEL057C,59.09230904,2.453011446,,
iYNL191W,35.46542986,2.057975547,,
iYDR134C,63.8634691,1.500012715,,
iYLR452C,52.53992167,1.744381336,,
iYHL029C,34.43073734,1.621952783,,
iYOR344C-0,56.19647637,5.569176004,,
iYHR095W,35.23080085,2.587492586,,
iYOR358W,49.66638099,3.306966501,,
iYCR068W,47.74320724,1.970796626,,
YDR406W,47.98176232,3.509354444,,
iYPL171C,44.17144138,3.031042287,,
iYLR312C,63.66010191,2.291514998,,
YHR070W,49.80918599,2.470154489,,
iYDL022W,42.94256544,1.901929821,,
YFR034C,58.77559618,4.095488843,,
iYNR069C-1,58.36973562,2.232337004,,
iYiL100W,80.17087299,2.299797977,,
YGL126W,65.73110274,2.895304849,,
iYAL054C,50.46609985,2.243842655,,
iYFL024C,47.81395094,2.145888038,,
iYAL053W,46.74869379,2.747957277,,
iYOL158C,43.03221882,2.936699003,,
iYHR121W,47.64839903,2.477716285,,
iYER145C,30.18939741,2.806648201,,
iYMR230W,55.70901532,3.78360917,,
iYGL167C,72.53892475,1.577137654,,
iYBR060C-0,43.38680149,1.720877838,,
iYMR099C,44.12314558,1.72308732,,
iYKR041W,53.4559313,2.398317014,,
iYLL002W,35.26868104,2.474281133,,
iYGR283C,53.30846174,2.242326137,,
YFR018C,52.96126561,4.529173581,,
iYOR337W,45.51378786,2.172721375,,
YNL153C,57.62255338,1.835728979,,
iYDR258C,50.05631836,3.407221652,,
NA,30.77737683,3.026184928,,
iYBL061C,51.60414051,1.886175126,,
iYCR011C,60.87232723,1.510430867,,
iYiL069C,83.71200459,2.847549437,,
iYMR092C,59.44517205,2.566706285,,
iYJL107C,65.56924729,1.982039045,,
iYKL177W,35.19503823,1.611005455,,
iYBR182C,53.32621748,2.386528418,,
iYOR056C,40.39599058,3.623631271,,
iSNR45,54.25493809,1.891374509,,
iYPL058C-0,31.31327042,2.145919982,,
iYCL065W-0,52.90887716,4.40373383,,
iYKL152C,64.47116559,2.100244674,,
iYOR124C,50.62847659,1.977329568,,
iYOR348C,47.89845986,3.12300488,,
iYLR338W,100.3195378,2.434202904,,
iYPL162C,58.76243722,2.391666125,,
iYDR050C,53.90107988,2.087653577,,
iYGL075C,56.62441692,3.08672255,,
iYBR105C,75.36414069,2.172229873,,
YJL043W,62.56336104,1.878433168,,
iYLR023C,44.751944,2.182042556,,
iYNL254C,43.65000275,2.61006712,,
iYPL095C,54.10269969,2.750244839,,
iYPR034W,58.16637258,2.050237456,,
iYPL227C,62.7554933,1.900170204,,
iYGL084C,40.59359527,2.067110085,,
iYGR233C-0,40.22049843,2.079854214,,
iYMR145C,37.11235037,2.008317818,,
iYPR036W,48.47344048,2.317941932,,
iYDR277C,55.13447519,1.653080752,,
iYNL209W,51.17246348,3.004091378,,
iYBR113W,61.64809271,2.009492399,,
YCR103C,33.8873164,2.800249351,,
iYJR134C,33.32405592,2.247408543,,
iYFR053C-0,51.1519051,2.091249552,,
iYGL037C,37.40095666,2.63268631,,
iYBR201W-1,33.57263234,2.01255739,,
iYKR101W-0,52.27475696,1.863948146,,
iYMR107W,55.00399384,2.467371653,,
iYOR112W,39.4525501,2.110484987,,
iSNR66,46.74326579,2.318836433,,
iYLL051C,44.96057991,3.909299514,,
iYNL179C-1,76.17595488,1.943119406,,
iYOR152C-1,81.01280262,1.710618847,,
iYDL169C,55.17022829,2.135903406,,
YMR122C,126.3062593,2.4838174,,
iYDR246W,42.57401471,2.990283807,,
iYMR295C,52.33932168,3.532507176,,
YHR178W,42.99922335,2.086915717,,
iYCR009C,34.02582002,2.032215719,,
iYJR131W,46.80228096,2.832641867,,
YDR274C,42.9993121,3.05678897,,
iYKL060C,45.48448665,1.57716327,,
iYML101C,82.04849493,2.610231674,,
iYAL004W,40.77902953,1.565698611,,
NA,38.40852878,2.597072086,,
iYER092W,45.97924387,2.945900312,,
iYPL076W-0,43.92633624,2.406147898,,
iYGL097W-0,51.25621815,1.865169815,,
iYOR178C-1,45.89040838,2.349350394,,
iYLR003C,55.6696784,2.336605601,,
iYPL222W,52.99081765,2.425476289,,
iYMR224C,44.23700239,1.722546162,,
NA,59.50215499,2.231037255,,
iTA(AGC)D,41.5740086,3.980989642,,
YGR177C,36.82266367,2.12092813,,
YCL042W,41.53789918,3.380087609,,
YPL025C,67.21969655,1.847159857,,
iYKL143W,45.90048115,2.002134623,,
iYOR032C,50.72147751,3.622539453,,
YBL044W,59.77293458,1.619744494,,
iYNL311C,45.40624559,2.515994665,,
iYGR091W,46.57191146,2.032777897,,
iYCRWOMEGA3,51.30192486,3.490787144,,
iYKL148C,49.33358711,1.522017069,,
iYKL218C-2,68.7046103,1.891585133,,
iYCL069W,55.20440036,3.817820141,,
iYNL301C,44.95010314,2.723318806,,
iYHR007C,38.74671428,1.927970353,,
YNL148C,66.11571122,2.205128111,,
iYLR029C,69.61433242,2.371148769,,
iYKL045W,33.07017412,1.880007161,,
iYHL033C,94.02601926,1.970825743,,
iYDL128W,53.37694016,1.851066039,,
iYDL174C,52.94889891,1.883476775,,
iYKR056W,68.44919318,1.707956884,,
iYJL207C,31.38481347,2.281460593,,
iYDL048C-1,180.4913473,2.129403981,,
iYGR035C,68.27864351,1.756700879,,
iYLR099C,57.65279114,1.772824022,,
YHR214C-B,52.79235111,1.923945791,,
iYGL097W-1,37.8259519,2.768408024,,
iYDR193W,43.212194,1.651759079,,
iYDR343C,56.83932863,3.554921549,,
YNL269W,59.70392347,1.746344576,,
iYDR387C,43.4754293,1.786152831,,
iYNL144C-1,47.71954498,1.724863167,,
