gene,time
YHR191C,<1
YMR309C,<1
YMR288W,<1
YIL069C,<1
YKL003C,<1
YLR316C,<1
YDL131W,<1
YGR037C,<1
YML007C-A,<1
YGL226C-A,<1
YER073W,<1
YMR228W,<1
YBR044C,<1
YIL052C,<1
YMR272C,<1
YAL012W,<1
YJL034W,<1
YHR062C,<1
YLR262C-A,<1
YDR140W,<1
YGL245W,<1
YKL091C,<1
YDL018C,<1
YDR239C,<1
YFR041C,<1
YJL066C,<1
YMR105C,<1
YNR013C,<1
YNL339W-A,<1
YOR315W,<1
YPR168W,<1
YDR454C,<1
YNL182C,<1
YFL031W,<1
YGR007W,<1
YLR129W,<1
YBR082C,<1
YBR278W,<1
YJR088C,<1
YMR141C,<1
YNL268W,<1
YGR220C,<1
YJL077C,<1
YOL122C,<1
YPR048W,<1
YDR119W-A,<1
YHR133C,<1
YCR053W,<1
YHR027C,<1
YKL033W-A,<1
YOR117W,<1
YMR197C,<1
YJR064W,<1
YEL006W,<1
YFR055W,<1
YBR216C,<1
YBR234C,<1
YCR016W,<1
YML092C,<1
YDR161W,<1
YDR463W,<1
YDR519W,<1
YOR026W,<1
YPR181C,<1
YGL253W,<1
YDR091C,<1
YGR275W,<1
YKL157W,<1
snR75,<1
YPL274W,<1
YPL108W,<1
YKL016C,<1
YBR207W,<1
YGR062C,<1
YMR142C,<1
YMR307W,<1
snR49,<1
YDR256C,<1
YER003C,<1
YBL097W,<1
YPR036W,<1
YCR060W,<1
YCR093W,<1
YKL081W,<1
YLR033W,<1
YML024W,<1
YER026C,<1
YNL166C,<1
YOR157C,<1
YJR117W,<1
YNR046W,<1
YOL060C,<1
YDR510W,<1
YKL052C,<1
YDR188W,<1
YFL039C,<1
YDR013W,<1
YDR194W-A,<1
YBR143C,<1
YGL222C,<1
YKR085C,<1
YOL155C,<1
YDR513W,<1
YER170W,<1
YHR196W,<1
YIL021W,<1
YER070W,<1
YFR002W,<1
YOR089C,<1
YPL259C,<1
YDR450W,<1
YOL011W,<1
YDR427W,<1
YDL027C,<1
YFR014C,<1
YNL284C-A,<1
YNL284C-B,<1
YDL208W,<1
YPL059W,<1
YBR191W,<1
YAL044C,<1
YLL018C,<1
YOL089C,<1
YBR279W,<1
YMR059W,<1
YPL091W,<1
YBR036C,<1
YBR255C-A,<1
YDR238C,<1
YHL049C,<1
YHR064C,<1
YML133W-A,<1
YCR052W,<1
YHR134W,<1
YDR087C,<1
YNL302C,<1
YBR122C,<1
YDR019C,<1
YFR050C,<1
YDL191W,<1
YDR536W,<1
YHR200W,<1
YOL040C,<1
YGL151W,<1
YOR390W,<1
YDL125C,<1
YNL274C,<1
YGR063C,<1
YGL026C,<1
YNL178W,<1
YOR349W,<1
YNL244C,<1
YOL085W-A,<1
YML026C,<1
YGL188C-A,<1
YMR242C,<1
YOR369C,<1
YBL027W,<1
YCL005W-A,<1
YGR039W,<1
YPR106W,<1
YBR002C,<1
YKR048C,<1
YER019W,<1
YFR010W-A,<1
YJL167W,<1
YJL111W,<1
YCR054C,<1
YGL058W,<1
YHR128W,<1
YDR525W,<1
YIR032C,<1
YHR090C,<1
YAL059W,<1
YBR076C-A,<1
YDR320C-A,<1
YBR084W,<1
YGL225W,<1
YMR011W,<1
YPL143W,<1
YPL051W,<1
YBL024W,<1
YOL038W,<1
YMR280C,<1
YGR055W,<1
YPL193W,<1
YDR181C,<1
YKR046C,<1
YLR185W,<1
YBR254C,<1
YJL190C,<1
YOL039W,<1
YOR096W,<1
YML094W,<1
YOR273C,<1
YKL096W,<1
YDR101C,<1
YLR172C,<1
YLR301W,<1
YDR299W,<1
YLR345W,<1
YOR382W,<1
YML025C,<1
snR82,<1
YDL232W,<1
YDR172W,<1
YBR111C,<1
YJL143W,<1
YBL071C,<1
YEL054C,<1
snR79,<1
YKL175W,<1
YGL012W,<1
YBL078C,<1
YER064C,<1
YJL196C,<1
YOR045W,<1
YGR253C,<1
YOR215C,<1
YNL113W,<1
YDR194C,<1
YPL183C,<1
YDL130W,<1
YER131W,<1
YOR078W,<1
YBR084C-A,<1
YLR060W,<1
YIL133C,<1
YOL064C,<1
YEL043W,<1
YDL075W,<1
YKR057W,<1
YNR033W,<1
YMR311C,<1
YPR052C,<1
snR17b,<1
YBR181C,<1
YGL238W,<1
YHL029C,<1
YLR048W,<1
YMR230W,<1
YLL050C,<1
YLR447C,<1
YNL177C,<1
YLL045C,<1
YDR524C-B,<1
YBR228W,<1
YKL033W,<1
YJL002C,<1
YJR113C,<1
YNR020C,<1
YPL267W,<1
YNL162W,<1
YBR256C,<1
YER042W,<1
YML004C,<1
YER024W,<1
snR86,<1
YNR036C,<1
YDL083C,<1
YIL138C,<1
YER102W,<1
YJR094W-A,<1
YDL171C,<1
YLR389C,<1
YOL150C,<1
YDR168W,<1
YHR006W,<1
YLR017W,<1
YLR448W,<1
YPL037C,<1
YJL225C,<1
YDR138W,<1
YDR545W,<1
YJL015C,<1
tE(UUC)E1,<1
YCL042W,<1
YDL136W,<1
YOR133W,<1
YBR079C,<1
YHR021W-A,<1
YLR367W,<1
YHL001W,<1
YMR230W-A,<1
YDR257C,<1
YJR145C,<1
YKL192C,<1
YDL229W,<1
YGR295C,<1
YLR467W,<1
YOL097W-A,<1
YGR056W,<1
YDL012C,<1
snR58,<1
YBR290W,<1
YGL030W,<1
YMR074C,<1
YIL060W,<1
YDR133C,<1
YCR038C,<1
YMR242W-A,<1
YGR174C,<1
YDR418W,<1
YEL017C-A,<1
YFR032C-B,<1
YGL188C,<1
YHR007C-A,<1
YBR074W,<1
YBR068C,<1
YIL163C,<1
YDR381C-A,<1
snR70,<1
YDL133C-A,<1
YHR021C,<1
snR13,<1
YER146W,<1
YMR194W,<1
YOR234C,<1
YOR225W,<1
YPL271W,<1
YDR050C,<1
snR45,<1
YML126C,<1
YML049C,<1
snR54,<1
snR65,<1
