,L1,L2,L3,L4,L5,L6,L7,L8,U1,U2,U3,U4,U5,U6,U7,U8,T1,T2,T3,T4,T5,T6,T7,T8
YDL246C,5,96,0,2,4,17,2,27,31,0,4,7,7,0,15,5,10,2,4,11,2,24,9,6
YDL243C,20,2785,16,814,8,419,9,607,54,12,30,17,31,5,22,6,25,184,39,164,26,735,45,189
YDR387C,83,1811,40,448,34,298,35,383,123,14,145,27,65,12,148,6,97,146,98,88,139,476,148,97
YDR438W,38,787,12,199,16,130,11,145,86,7,58,8,47,1,99,3,56,63,55,43,77,247,69,48
YDR523C,0,38,2,10,1,3,2,8,4,0,4,1,1,0,0,2,1,2,3,1,6,6,9,6
YDR492W,21,1807,50,412,29,191,24,279,25,4,34,11,12,0,17,4,12,16,22,31,15,60,7,18
YDR018C,10,298,7,76,3,34,4,40,45,4,17,8,8,2,6,0,8,2,6,6,7,30,10,5
YDL189W,25,1448,19,424,8,167,27,483,47,3,94,21,35,1,109,7,17,64,69,87,33,304,139,131
YDR508C,188,12126,264,2295,309,3244,284,4044,435,54,259,60,296,37,523,54,173,316,182,227,325,2989,349,691
YDR462W,22,1360,50,354,13,203,24,323,58,3,13,8,23,2,17,2,17,19,19,8,17,138,15,12
YDR175C,135,4294,114,1161,68,730,76,1168,441,71,276,203,143,72,325,97,156,231,210,287,219,1066,271,308
YDR186C,36,4736,174,889,142,765,201,1129,100,16,71,8,84,4,113,9,48,68,62,87,81,519,107,135
YDR150W,228,27011,1132,4867,580,3320,921,5290,846,120,621,200,317,43,663,74,354,403,502,444,689,3602,751,750
YDR243C,42,2122,39,452,29,278,30,450,82,6,80,3,60,0,105,3,58,67,48,73,92,479,105,74
YDL182W,6,1388,49,219,31,337,69,560,18,1,14,5,13,10,19,14,2,8,4,6,9,114,23,33
YDR362C,45,2264,31,385,32,337,49,498,127,1,98,6,91,5,110,7,46,88,100,62,92,434,136,149
YDR232W,260,11837,629,2500,357,2037,486,2730,591,204,316,262,226,106,379,170,306,367,285,210,313,1514,256,342
YDR158W,1473,14977,539,3833,536,3172,410,4192,3212,1153,1961,2246,1742,1374,2621,2284,1477,2164,1745,1715,2400,12211,2614,2674
YDR439W,10,786,15,173,3,133,16,196,28,4,6,5,11,0,26,1,12,15,9,8,21,79,18,32
YDL206W,38,1001,30,203,35,203,52,240,72,5,73,18,41,9,94,4,52,70,49,35,71,298,73,58
YDR125C,39,874,37,222,9,131,24,147,56,2,65,9,21,4,66,6,25,38,46,38,32,159,59,49
YDR338C,39,2642,46,624,35,384,31,497,120,4,91,5,51,4,78,2,67,110,100,74,113,581,108,99
YDR533C,32,6594,40,1863,17,775,9,1324,168,53,72,74,37,16,43,31,49,181,56,178,53,772,60,177
YDR272W,543,4395,147,1075,106,821,85,1093,1246,279,705,646,375,131,611,260,759,918,652,619,573,2797,656,581
YDR197W,10,1434,28,391,23,220,21,400,68,9,11,6,10,0,15,5,6,9,7,8,9,74,15,28
YDR512C,27,889,82,245,12,122,22,196,126,71,113,146,29,22,106,90,37,112,114,112,56,392,108,100
YDR489W,0,444,6,120,6,73,14,79,15,0,4,0,8,0,9,0,6,5,3,2,2,47,8,10
YDR299W,63,6276,116,1430,65,836,94,1550,166,2,128,21,90,4,178,21,54,151,106,172,163,1037,171,259
YDL015C,259,7487,271,1692,138,1523,125,1579,723,218,411,374,313,145,500,233,196,482,293,331,451,2561,452,490
YDR304C,629,4919,222,1031,121,899,114,1101,1957,652,960,1114,553,440,925,640,846,1075,735,699,767,3974,852,775
YDL181W,65,5101,396,1317,176,1114,197,1552,256,87,182,179,85,54,172,139,76,105,125,142,120,967,151,224
YDR367W,54,3005,52,756,47,646,43,868,305,48,176,128,114,46,233,56,102,155,99,144,139,830,124,186
YDR085C,49,2912,56,561,14,205,32,323,134,29,84,29,26,4,64,10,69,77,55,63,60,197,73,45
YDL097C,85,11399,173,2299,114,1735,126,2476,420,103,188,157,155,39,241,75,81,143,112,118,134,755,112,259
YDL139C,2,253,10,56,4,49,3,93,10,1,5,0,3,0,2,1,3,6,2,2,2,15,5,6
YDR200C,54,1854,47,438,31,249,32,449,41,16,57,15,26,4,58,7,37,45,58,33,20,180,41,60
YDR191W,16,667,11,176,7,90,3,137,49,3,33,1,12,0,22,0,29,44,28,31,31,127,21,44
YDR451C,16,1093,19,211,4,130,16,203,27,1,37,4,20,1,30,3,18,18,14,15,21,111,13,33
YDR469W,69,1215,26,328,11,212,42,297,64,4,131,81,54,12,156,39,77,118,129,143,85,500,143,153
YDR470C,32,2524,61,509,47,382,35,559,114,35,82,50,37,10,66,13,28,59,46,45,50,277,31,87
YDR105C,222,3313,57,702,34,511,29,526,420,28,249,57,190,9,231,14,198,185,203,193,216,801,263,213
YDR483W,115,5677,261,1449,137,982,187,1488,261,76,189,148,66,45,139,110,116,136,131,102,89,564,88,166
YDL123W,1,226,2,52,5,38,10,34,3,0,2,0,0,0,8,0,3,1,0,1,2,21,3,1
YDL199C,7,431,18,93,6,60,8,77,20,4,17,4,6,0,6,3,17,6,13,9,7,49,9,5
YDR505C,301,10440,232,2263,209,1679,201,2013,546,37,709,74,367,24,707,44,355,489,527,448,593,2748,644,503
YDL045W-A,30,1016,29,260,15,176,22,324,25,12,37,17,15,1,31,6,29,33,22,26,24,106,38,30
YDL045C,45,2677,37,523,36,351,30,470,242,11,90,12,54,7,115,5,73,119,104,116,85,504,123,134
YDR361C,248,4519,76,1129,63,861,57,1185,315,91,349,198,314,110,535,146,244,533,269,404,449,2360,521,459
YDR266C,55,3575,57,723,42,499,71,725,95,13,64,23,35,6,64,16,50,52,52,58,48,288,41,62
YDL242W,0,91,0,26,0,16,3,20,5,0,0,0,0,0,1,1,1,0,0,1,0,15,1,3
YDR002W,860,8052,298,2242,196,1572,229,2637,1845,654,1488,1964,970,787,2049,1696,1395,1931,1451,1733,1633,8794,2196,2163
YDR214W,133,16794,318,4113,152,2636,151,3837,667,152,354,338,193,97,321,152,223,598,342,514,324,3510,316,606
YDR130C,39,1625,23,409,16,269,29,413,140,2,63,12,43,1,93,0,51,76,55,72,55,434,92,108
YDL176W,13,1204,19,202,17,104,21,237,52,0,47,7,25,3,40,5,27,28,38,39,22,197,36,57
YDR358W,62,2367,58,594,40,393,38,549,170,13,174,32,92,5,181,18,85,99,136,90,117,529,139,127
YDR460W,54,1986,46,461,23,332,41,541,132,11,106,12,83,10,156,6,93,141,103,101,126,651,147,135
snR84,7580,6476,943,2021,855,1594,616,2163,35223,9356,11403,14349,7508,8194,12265,14913,11286,13859,10991,10322,10225,50514,14179,12195
YDR034W-B,6,86,18,29,4,14,2,21,28,11,46,37,12,2,36,9,6,16,33,10,18,32,22,14
YDL028C,19,2370,40,561,37,399,46,615,75,1,58,5,32,0,49,5,21,31,36,31,35,248,22,52
YDR061W,376,5706,131,1205,74,809,66,1100,704,127,525,232,308,51,453,77,567,639,453,542,446,2088,548,428
YDR060W,870,26825,503,5759,388,3659,457,5617,1178,231,1434,611,931,198,1957,304,1115,1839,1089,1491,1654,8316,1937,1769
YDR169C-A,2,18,0,10,0,4,1,5,5,0,0,0,1,0,0,0,1,1,0,1,0,3,0,1
YDR363W,7,1466,38,322,39,215,28,376,60,1,40,2,28,0,61,0,15,19,18,24,41,231,49,70
YDR422C,19,2921,87,635,54,390,85,629,63,13,39,8,27,1,61,3,21,45,35,36,83,274,37,46
YDR119W,679,10171,282,2617,155,1501,124,2237,855,147,858,286,517,111,857,170,694,969,850,749,930,4101,954,967
tR(ACG)D,3,9,1,4,0,2,0,0,6,0,2,0,1,0,1,0,1,0,2,0,2,10,3,0
YDR097C,435,7749,215,1622,100,720,127,1155,549,60,579,181,299,34,659,55,439,575,488,462,402,1720,545,425
YDR042C,0,33,1,2,1,9,0,6,2,0,1,3,4,0,5,1,1,0,1,1,0,18,7,5
YDL160C,34,4544,161,913,80,673,142,980,51,7,33,22,41,5,62,9,33,25,37,48,25,242,30,62
YDR425W,7,481,20,98,2,79,13,90,2,0,3,3,10,3,4,0,10,5,10,8,2,56,2,16
snR13,4,213,3,68,12,163,10,69,17,0,10,4,33,1,31,4,7,27,10,14,44,221,35,39
YDR228C,26,1081,22,218,14,170,21,274,50,12,46,4,25,2,53,3,28,27,41,27,35,201,40,41
YDR319C,122,1976,28,449,45,456,23,386,220,8,156,16,133,14,166,5,115,159,153,124,163,711,172,164
YDR471W,311,12426,500,3831,364,2707,340,3808,957,456,1450,1611,665,430,2026,1644,418,1017,1075,1249,845,5802,1706,1856
YDR089W,17,2084,28,420,29,261,30,422,158,4,81,5,51,6,82,3,43,60,51,40,82,268,73,86
YDR275W,151,2008,31,415,43,222,23,370,397,5,192,14,152,3,222,8,270,202,198,159,206,549,253,156
YDR043C,3,312,14,74,4,62,13,84,17,1,13,6,22,2,21,2,10,6,23,17,14,34,31,18
YDR129C,1270,16011,732,3862,420,2698,526,4034,2476,675,2525,1716,1121,423,2280,847,1608,1774,2044,1913,1778,7453,2581,1688
YDR136C,0,8,4,5,0,5,1,1,8,0,1,0,0,2,0,0,1,2,0,0,2,2,0,0
YDL066W,325,11780,608,2746,343,1807,335,2329,2605,1338,1585,2518,856,932,1391,1637,1175,2141,1397,1522,1618,8534,1489,1630
YDR302W,148,2281,39,637,30,445,20,545,213,13,166,25,148,9,220,15,151,253,155,183,186,945,282,223
YDR239C,13,2005,37,422,26,312,23,388,83,1,40,14,25,2,45,3,26,43,17,44,57,292,58,52
YDR539W,75,3407,88,844,53,565,52,736,214,53,136,83,91,39,166,55,96,150,136,138,157,805,190,230
YDL125C,226,4118,118,1050,104,1370,97,1456,611,115,326,134,326,63,455,105,298,239,324,181,417,1954,485,358
YDR493W,16,1027,33,229,10,163,19,314,60,13,44,31,17,9,34,28,19,29,32,40,19,228,30,47
YDR101C,257,16762,251,3874,220,2834,216,3856,813,112,554,256,482,136,807,227,303,659,443,627,776,4021,825,1059
YDR182W-A,1,8,1,1,0,2,0,2,2,0,1,0,0,0,1,3,0,0,0,0,3,4,0,2
YDR212W,794,16421,343,3804,324,2844,250,3841,2602,575,1320,1141,908,487,1347,763,1230,2039,1296,1612,1341,7756,1476,1710
YDR476C,11,960,43,233,12,171,20,244,29,13,17,11,6,1,19,11,15,24,8,16,19,146,16,37
YDL131W,17,3654,190,945,106,793,164,1161,106,17,35,21,37,11,42,26,18,25,16,16,32,258,22,45
YDR458C,85,4760,77,1137,62,607,89,1050,200,20,216,36,113,11,291,22,96,125,133,156,136,625,234,235
YDR081C,77,4149,89,912,55,537,45,752,184,4,128,12,91,0,201,5,85,152,97,119,169,760,191,154
YDR113C,4,765,12,135,13,102,7,186,10,1,4,1,2,0,6,1,6,7,3,4,7,59,5,14
YDR168W,272,6444,193,1536,121,974,128,1596,468,141,482,346,215,77,545,148,416,550,393,461,373,2572,454,535
YDR520C,36,2279,32,475,17,335,18,505,94,8,93,5,59,0,109,0,56,113,64,125,95,588,111,145
YDR307W,74,2600,69,562,30,425,45,483,106,10,91,29,54,9,107,7,53,82,65,62,43,425,83,79
YDR265W,220,2643,51,694,30,317,26,548,305,15,217,49,140,4,206,16,201,233,202,227,181,732,235,179
YDL076C,40,1344,26,284,17,227,12,297,87,24,62,28,44,7,79,10,49,53,43,44,98,378,74,59
YDL006W,149,2276,36,520,32,448,30,528,312,18,168,37,159,5,230,11,197,252,204,203,226,1100,304,212
YDL086W,91,2758,172,715,88,502,103,665,336,109,147,148,71,57,141,99,99,122,75,85,106,655,86,115
YDR238C,621,20560,644,4362,434,3665,475,4850,1411,459,1548,993,701,411,1471,616,1153,1426,1074,1026,1371,6994,1309,1603
YDR077W,499,13713,922,1533,384,1457,487,1712,489,478,383,278,228,150,325,270,386,493,387,189,284,1686,302,327
YDR381C-A,388,1786,52,478,36,324,32,407,741,129,418,353,192,73,307,113,453,508,428,353,270,1206,397,216
YDL083C,249,10736,409,2622,267,1786,314,2671,1029,485,536,732,380,305,702,727,298,574,422,476,472,2933,604,730
YDR036C,18,2505,155,506,44,318,55,569,53,34,29,29,18,12,24,20,18,29,34,18,17,138,26,26
YDR057W,141,2348,37,561,19,309,27,416,249,11,160,34,94,4,190,16,136,222,168,196,145,781,140,174
YDR513W,156,3465,146,1025,88,853,95,1205,186,56,69,74,75,33,71,44,190,159,82,103,83,669,66,146
YDR487C,395,6551,154,1797,101,1123,81,1458,1524,502,759,866,454,240,669,389,667,1151,660,709,598,3120,650,660
YDR066C,14,455,5,106,7,72,3,107,46,10,34,5,21,1,38,2,10,27,28,29,17,102,37,22
YDR352W,20,2483,54,621,52,483,18,569,92,11,55,7,35,3,78,6,29,47,32,55,65,398,52,98
YDR079C-A,133,600,15,151,5,116,16,181,211,46,97,104,69,22,150,47,148,167,121,121,120,439,141,98
YDR204W,156,2316,120,536,39,404,44,504,591,121,278,209,136,43,228,112,275,287,272,223,209,892,248,157
YDL024C,2,117,1,33,3,24,0,30,10,0,1,3,0,0,3,0,5,0,5,6,1,21,3,0
YDR109C,42,1702,43,528,20,197,24,402,98,1,73,18,45,6,130,11,45,87,71,84,63,335,72,115
YDR466W,19,2805,101,538,44,341,78,567,57,3,38,13,27,5,33,6,12,35,16,22,33,235,36,40
YDR427W,471,14428,208,3643,144,2118,112,3027,1256,146,737,301,345,60,763,117,345,663,643,800,440,3124,644,843
YDL044C,23,1737,31,468,12,294,16,435,62,1,55,7,30,1,57,4,26,75,48,47,49,420,62,90
YDL079C,157,1966,125,583,379,1844,448,1764,587,15,373,27,964,30,1932,37,374,111,367,123,1658,3331,1854,557
YDR305C,97,1833,73,489,19,294,34,440,231,15,142,71,63,20,156,27,136,148,132,138,139,529,154,109
YDR377W,913,13938,333,3465,228,2466,179,3265,3360,642,2012,1726,1006,455,1942,1062,1149,1803,1919,1831,1321,7605,1920,1876
YDR219C,22,2027,30,478,27,346,43,629,48,0,35,8,37,0,65,2,20,32,24,38,36,301,56,78
YDR416W,281,4084,74,955,71,508,55,762,258,14,327,20,178,2,358,6,235,391,285,292,298,1283,386,278
YDR365C,233,10639,263,2205,233,1537,262,2243,393,91,510,179,364,99,777,123,437,828,461,737,774,4045,830,842
YDL233W,37,1860,68,392,30,303,40,406,95,10,71,14,55,3,71,4,57,30,41,32,50,187,68,55
YDR287W,26,1290,41,330,41,250,29,318,283,61,102,112,49,33,103,44,81,131,101,102,95,501,91,124
YDR448W,37,2153,43,433,22,315,36,451,93,4,72,4,72,3,133,3,54,100,81,78,117,490,120,108
YDR180W,86,4179,100,921,36,445,48,630,159,13,145,17,69,3,171,9,92,154,91,125,125,621,129,135
YDR294C,393,10794,255,2781,108,1428,115,1903,1082,162,740,331,300,58,564,99,571,715,595,615,440,2335,482,527
YDR198C,142,2413,36,571,23,348,32,485,161,7,126,34,100,7,170,9,105,142,142,120,174,635,143,171
YDL119C,61,1230,18,275,5,168,16,201,115,5,69,11,52,4,89,5,102,95,90,63,78,363,94,76
YDR501W,25,443,10,99,6,87,7,114,44,3,35,7,30,4,24,1,30,23,21,22,22,135,36,28
YDL214C,5,769,20,206,4,82,8,134,46,7,27,4,6,1,28,0,21,14,16,32,34,105,24,29
YDR264C,703,13513,287,3385,171,1697,191,2158,1100,114,931,233,490,45,802,83,919,1251,969,979,727,3468,974,858
YDR343C,7624,113280,7217,35474,5247,16151,6797,25791,16534,1385,19575,4133,11379,436,26844,735,9289,8999,15609,8870,18281,27374,25246,8102
YDR373W,208,3038,47,841,39,538,33,684,595,134,367,274,203,52,338,132,260,426,365,346,280,1446,340,332
YDR354W,123,7915,136,1840,81,1383,88,1469,306,46,197,40,142,33,217,43,158,313,152,230,235,1524,223,327
YDR246W,14,1213,42,253,25,209,27,277,55,2,20,5,20,0,20,3,17,23,23,14,23,132,16,16
YDR428C,6,1055,24,333,23,185,19,326,91,8,20,9,21,3,15,10,6,14,16,29,26,136,13,35
YDR316W,52,3477,126,792,49,452,100,716,248,60,213,156,105,29,183,56,72,139,130,174,148,814,169,225
YDL142C,48,1653,33,415,28,239,21,345,106,5,61,7,39,5,92,5,56,95,64,54,96,408,106,93
YDR253C,5,335,7,90,2,15,3,34,6,1,16,3,1,2,12,0,8,20,9,20,4,32,8,3
YDL112W,226,10295,178,1953,225,1630,237,2206,370,99,508,219,366,122,710,201,311,564,398,523,813,3663,739,755
YDR545W,337,10976,702,2328,251,1271,281,2104,738,82,728,54,380,64,237,86,510,518,469,417,630,2619,624,589
YDL138W,34,2636,58,575,44,284,52,371,74,10,92,12,59,1,105,2,55,92,54,63,54,292,68,75
YDR528W,1,540,8,101,7,53,3,106,8,3,0,0,2,0,2,0,2,7,0,7,4,16,3,6
YDR284C,64,2413,65,639,30,559,37,595,298,38,160,81,81,11,149,38,105,109,85,91,84,546,81,120
YDR050C,406,19805,1182,6237,1294,8269,1186,10663,4699,831,1485,1539,1432,1171,2092,1833,574,1065,1101,1118,1973,12280,1909,2821
YDL010W,5,633,23,184,12,79,10,245,14,1,9,3,3,0,11,0,3,7,19,13,15,75,14,22
YDL065C,50,2180,67,552,12,274,42,554,55,12,90,55,50,7,138,17,65,101,112,113,77,474,124,134
YDR349C,45,5129,113,1059,87,767,98,1033,238,49,178,74,90,47,175,48,75,116,70,81,154,830,120,129
YDL098C,2,395,8,102,8,85,1,156,11,0,15,6,7,0,11,2,8,8,14,30,4,51,13,20
YDL234C,922,8145,395,1907,207,1233,270,1500,1223,60,1286,105,682,14,1337,29,1123,642,1307,447,1088,2060,1289,444
YDR118W,80,1560,25,420,19,214,26,300,162,3,136,8,88,3,141,2,93,132,117,114,130,541,154,119
YDR159W,48,4505,108,946,67,605,96,954,149,3,135,20,84,4,164,16,53,93,67,98,97,544,89,125
YDR111C,254,3146,74,773,38,606,46,677,311,35,289,60,168,22,259,35,314,248,256,165,242,1231,253,162
YDR128W,160,4257,149,1150,48,517,97,1092,262,35,350,168,143,39,389,86,206,286,328,338,232,1373,373,386
YDR065W,83,2045,40,498,21,274,18,391,131,13,126,20,93,2,154,7,115,155,109,119,104,552,172,124
YDL004W,367,10075,397,2357,320,1929,312,2946,1581,437,622,732,458,374,622,570,558,767,389,489,751,4747,612,865
YDR024W,1,34,2,8,0,10,2,8,6,3,3,4,2,4,9,4,2,1,6,2,1,21,1,4
YDL171C,1318,17856,1064,3730,764,2998,826,4505,2110,1070,2606,2275,1300,1046,2421,1714,1692,2198,1991,1752,2094,10231,2229,2629
YDR083W,48,5516,90,1220,67,917,71,1335,164,40,180,100,134,40,261,78,79,182,114,186,207,1258,231,302
YDR457W,304,16081,509,2833,323,1926,392,3201,671,149,620,208,406,57,771,98,370,532,440,434,563,2776,633,784
YDR014W,33,1474,19,279,21,194,15,313,81,7,64,3,46,0,72,1,33,61,49,67,65,313,64,67
YDR206W,417,8151,123,1570,122,1048,95,1414,560,86,505,157,359,64,607,111,473,718,475,439,568,2516,570,578
YDR478W,8,792,12,164,10,133,8,203,23,1,30,6,20,0,40,5,10,40,25,33,21,255,39,45
YDR169C,9,1084,53,212,19,111,17,164,19,5,18,6,13,3,14,0,12,15,10,9,6,51,12,28
YDR115W,342,2880,74,788,39,579,29,648,758,208,398,347,225,103,330,127,324,451,355,367,303,1421,335,322
YDL232W,12,798,34,298,10,134,18,238,15,7,15,13,5,2,18,11,8,23,15,28,11,106,21,65
YDR432W,48,2938,117,580,42,337,56,531,72,57,44,47,19,12,41,27,42,52,26,49,38,217,27,46
YDR410C,13,381,4,90,5,85,4,84,46,2,13,8,16,0,31,6,14,32,20,11,23,145,43,23
YDL072C,59,2803,71,697,40,512,31,705,190,29,92,48,60,19,96,42,57,59,53,47,52,359,58,113
YDL012C,15,534,21,133,8,111,8,133,14,10,7,5,14,2,20,7,10,19,13,12,17,83,17,18
YDR482C,21,714,43,163,18,109,21,189,120,21,85,39,33,10,80,27,46,75,40,41,38,232,58,67
YDL070W,210,4681,116,1322,117,1016,131,1995,443,29,299,55,270,10,510,25,238,328,243,279,390,1753,429,506
YDR064W,224,12529,718,3850,658,2769,538,3565,925,298,304,237,307,204,375,288,170,322,216,329,325,2154,312,446
YDL135C,81,2509,66,578,42,422,46,745,234,91,169,161,89,53,136,81,121,175,129,128,138,916,153,218
YDL077C,23,2011,67,456,57,279,54,419,65,13,43,9,16,8,61,4,20,32,33,34,49,193,57,40
YDL033C,37,2418,52,650,30,408,32,466,125,7,70,15,59,3,121,3,65,100,67,57,102,497,84,105
YDL031W,262,9271,214,2736,133,1252,206,2906,361,42,526,116,326,31,789,101,330,568,526,647,563,2888,799,1008
YDR398W,177,10695,138,2185,140,1400,162,1902,400,14,395,23,324,9,570,15,298,517,266,338,537,2129,535,553
YDR326C,106,4756,134,1073,64,687,115,1031,214,25,225,36,173,5,274,11,183,226,174,172,184,1029,212,292
YDL052C,14,1719,37,464,22,257,23,557,60,2,24,12,16,2,23,1,7,19,12,31,25,172,30,25
YDR536W,61,3833,21,938,58,2023,46,2103,187,17,92,36,81,14,157,34,76,129,90,137,152,2522,141,449
YDR397C,36,2486,46,635,36,468,54,703,228,57,162,94,92,45,210,51,45,159,82,117,155,959,139,175
YDL116W,135,7951,137,1866,85,1080,113,1567,405,14,326,31,206,12,431,16,227,376,269,377,259,1895,403,514
YDR028C,153,13169,379,2387,195,1685,252,2513,427,91,453,175,246,62,485,73,189,351,251,297,375,1985,358,413
YDL007W,562,11126,282,2609,149,1547,135,2510,971,186,776,372,372,98,799,167,584,1006,668,836,656,4349,720,974
YDR236C,209,1843,39,574,23,375,26,376,291,61,209,107,145,21,154,40,178,269,169,187,163,727,194,148
YDR011W,246,32680,459,7210,545,8920,597,10899,434,93,504,209,566,56,1045,119,251,786,358,762,762,10405,851,1982
YDR155C,319,10220,1047,2672,401,2555,443,3133,1060,707,752,1139,290,248,675,626,409,718,702,656,466,3701,546,828
YDR414C,10,396,7,101,4,52,9,88,14,0,23,5,5,0,8,9,17,11,12,23,12,62,12,16
YDR026C,55,3173,61,705,63,432,75,711,117,5,150,30,124,7,251,17,92,117,114,107,148,632,175,183
YDL073W,91,2904,55,760,33,415,54,605,122,9,132,30,88,13,223,26,109,161,137,179,129,773,201,242
YDL115C,49,1941,74,410,55,275,75,405,103,6,100,20,42,8,127,14,75,109,85,94,78,452,116,101
YDL145C,629,22869,897,4759,625,4114,695,5079,1454,586,1493,1205,768,563,1583,783,930,1450,1055,1156,1366,7461,1382,1726
YDL104C,169,2624,48,628,18,370,26,417,337,36,205,77,95,7,192,16,223,276,236,198,167,744,183,148
YDL149W,38,1544,46,344,24,144,23,238,74,11,66,14,22,1,49,7,31,48,58,49,45,209,45,63
YDR231C,308,4590,143,1197,75,851,65,916,741,120,387,179,263,61,364,74,449,518,379,362,399,1742,411,393
YDR045C,57,1979,36,672,34,383,25,731,211,28,190,117,79,32,304,74,93,206,168,217,170,1170,281,251
YDL075W,167,6469,197,1667,231,1130,240,2375,371,123,136,165,147,109,188,184,111,238,120,201,184,1092,221,329
YDR415C,70,1960,45,485,29,240,22,441,183,15,96,28,69,9,92,6,70,118,85,90,80,456,112,111
YDR339C,41,2872,41,705,37,541,30,975,82,12,39,12,51,11,68,9,39,91,33,72,83,535,48,116
YDL213C,22,2873,123,644,125,474,143,890,78,12,41,40,48,21,60,60,38,53,52,78,75,612,86,88
YDR096W,7,855,75,175,63,227,96,379,26,2,11,10,20,1,30,4,15,11,20,8,18,127,23,31
YDL019C,166,7381,269,1421,176,1219,205,1842,453,82,578,233,263,49,666,148,290,395,444,342,531,2252,591,561
YDL022W,12,1187,110,327,113,1985,126,3235,82,3,31,5,54,12,51,21,38,10,25,16,71,765,61,167
YDR391C,6,400,30,93,10,89,19,196,19,3,13,7,7,3,18,7,14,10,8,12,11,63,11,30
YDR091C,83,8446,191,2009,176,1546,181,2310,175,51,168,81,120,55,214,78,127,172,135,197,232,1316,173,292
YDR240C,85,1727,17,411,17,267,22,317,129,7,101,9,81,1,147,1,80,143,85,107,141,526,148,131
YDL244W,2,36,5,6,0,1,1,9,5,0,2,3,1,0,0,2,2,2,2,1,2,6,0,1
YDR179C,118,752,44,240,30,114,30,174,72,18,89,40,97,14,163,25,106,101,96,102,97,529,141,87
YDL165W,373,2633,47,771,40,514,47,587,402,107,337,209,220,57,286,108,303,407,283,286,252,1251,339,274
YDL140C,159,20451,595,2945,377,2144,464,3680,399,74,257,61,208,37,351,60,133,208,136,193,198,1230,215,316
YDR120C,256,8373,178,2147,158,1462,163,2322,390,124,561,384,415,120,873,296,296,722,456,688,621,3329,818,826
YDR003W,36,2277,22,586,16,437,23,501,168,6,121,31,68,4,69,6,57,120,79,114,71,685,63,148
YDR499W,122,2503,46,531,27,273,31,438,268,11,182,15,84,7,182,17,155,154,139,169,131,557,200,147
YDR166C,87,4558,73,932,64,657,87,1050,202,19,156,20,83,3,191,11,70,156,101,131,155,861,147,233
YDL092W,30,2847,39,605,30,430,34,716,204,41,101,72,70,13,102,33,66,134,80,117,107,686,118,219
YDL041W,1,14,1,3,0,4,0,6,7,2,1,0,0,0,0,0,1,0,0,0,1,4,1,5
YDL241W,6,104,4,19,0,19,2,17,17,3,2,1,8,1,22,1,3,8,6,5,7,37,10,8
YDL082W,211,14035,369,3656,306,2618,331,3953,1047,322,398,509,390,294,619,425,170,370,208,302,466,2815,372,490
YDR277C,22,4016,106,764,111,719,134,1502,86,2,41,0,55,2,80,1,34,41,33,28,71,288,59,77
YDR291W,95,3669,77,915,59,531,63,903,161,20,227,59,103,17,279,18,127,211,168,211,200,1118,315,226
YDR475C,172,4556,116,955,85,694,92,853,321,17,290,57,175,13,327,26,242,189,196,139,213,873,220,212
YDR244W,92,4550,116,1020,70,723,67,886,322,9,326,28,159,4,305,14,213,241,270,204,233,1118,277,270
YDR407C,46,4965,118,1076,63,610,75,877,182,3,137,28,83,14,125,16,81,107,76,74,97,627,137,147
YDR382W,136,10766,541,3480,555,3106,529,3538,2283,324,270,540,409,491,569,685,165,320,206,220,462,3842,336,634
YDL188C,188,4295,143,1065,63,667,86,1068,322,114,317,190,130,46,266,90,169,240,193,152,160,851,235,246
YDR405W,18,1883,109,408,44,298,51,441,46,9,36,13,15,7,35,12,17,16,18,18,21,157,20,27
YDR443C,81,3256,112,595,62,437,68,653,115,28,104,28,59,13,94,10,53,83,73,49,76,396,63,99
YDR059C,38,803,61,199,29,99,21,183,94,34,60,36,23,6,28,30,45,66,43,53,25,258,33,37
YDR144C,12,2651,79,620,63,455,53,735,46,13,29,5,19,8,24,10,14,28,15,35,21,230,35,63
YDL157C,522,1666,75,480,41,288,36,431,525,187,394,439,264,155,494,380,518,543,440,367,349,1925,468,453
YDL058W,166,7802,305,1486,113,759,193,1554,279,42,403,131,157,31,487,56,210,260,234,312,242,1324,394,393
YDL155W,33,3192,82,666,67,663,65,830,137,4,99,7,103,2,144,5,37,98,76,87,165,786,132,132
YDR147W,27,1004,21,221,13,156,18,270,85,5,64,8,39,3,63,5,58,60,37,43,68,300,85,66
YDL191W,320,10497,426,2994,400,2222,311,3241,1602,604,1434,1985,905,726,2182,2186,421,1115,1175,1230,1315,7982,2002,2207
YDL128W,238,4960,161,1081,126,1032,121,1209,225,106,356,151,187,58,373,117,224,305,230,236,260,1340,334,306
YDR310C,29,3944,162,859,68,530,108,1137,56,1,28,13,20,5,44,7,22,36,14,26,41,300,32,81
YDL160C-A,5,176,5,49,1,35,3,53,25,2,30,13,13,2,21,5,9,24,19,15,19,97,13,32
YDR127W,698,28841,1022,5993,716,4397,799,5878,1564,659,1404,1048,947,646,1757,896,888,1473,1120,958,1470,7337,1604,1640
YDR497C,1384,34817,1010,7804,510,3408,480,4947,4460,546,3070,1139,1089,237,2209,410,2176,2626,2380,2040,2069,7009,2270,1546
YDR201W,70,896,8,214,20,172,16,237,185,26,85,54,59,31,93,35,82,127,70,86,90,430,96,109
