,L1,L2,L3,L4,L5,L6,L7,L8,U1,U2,U3,U4,U5,U6,U7,U8,T1,T2,T3,T4,T5,T6,T7,T8
YGR082W,48,1494,63,327,33,194,24,335,68,48,44,59,24,21,77,26,78,61,57,73,62,235,52,65
YGL028C,70,4416,137,906,57,397,75,646,187,19,135,19,71,2,104,7,112,121,105,108,110,437,101,110
YGL021W,99,2413,57,528,31,312,37,538,167,9,124,25,47,2,105,7,77,121,124,74,75,548,92,114
YGL110C,82,3267,58,802,49,408,68,631,181,10,200,13,94,2,184,12,103,175,137,173,158,779,189,221
YGR167W,17,2102,62,379,47,364,47,603,66,26,34,32,28,10,33,16,13,52,26,42,46,295,28,41
YGL017W,107,1850,38,400,22,264,43,352,153,7,125,23,85,8,199,13,115,119,102,63,131,310,133,109
YGR156W,5,249,7,49,5,49,5,65,8,2,6,1,2,0,12,1,8,10,1,3,6,30,2,6
YGR197C,71,1529,25,336,15,312,16,361,112,13,107,25,74,6,118,12,104,107,76,60,114,448,112,90
YGR041W,22,1104,15,219,12,106,29,232,44,2,26,5,13,2,23,0,23,13,19,18,20,90,21,14
YGL079W,10,483,10,120,8,69,6,174,22,1,6,6,5,0,7,2,5,12,6,2,5,49,4,8
YGL107C,105,6579,123,1509,97,1134,86,1443,410,89,337,162,186,37,356,57,239,345,220,289,301,1667,310,383
YGL168W,2,49,0,9,0,9,1,12,3,1,2,5,2,4,2,1,0,5,2,3,4,15,1,5
YGL228W,56,4330,205,1112,124,800,153,1298,163,45,158,97,93,22,142,45,42,73,77,99,94,600,118,168
YGR183C,498,16752,337,4235,281,3664,180,3812,1609,253,1681,650,887,162,1717,388,887,1485,1531,1118,1331,7578,1926,1423
YGL050W,16,1174,15,330,28,218,16,418,51,8,56,21,19,6,79,21,25,41,50,73,41,269,87,106
YGR086C,333,17479,790,4538,373,4054,413,5953,1105,473,782,593,389,231,719,397,401,499,402,456,437,2903,429,807
YGL145W,75,2988,70,695,39,431,35,635,208,17,198,23,85,7,239,12,123,122,173,161,148,742,209,193
YGR098C,65,3902,94,806,80,553,79,769,126,11,112,30,67,5,178,4,60,118,79,89,129,630,114,117
YGR074W,28,2315,23,453,21,415,30,499,111,18,88,46,46,6,119,19,62,91,54,86,68,553,112,110
YGL098W,90,1620,32,356,24,247,25,354,215,23,158,29,76,3,167,10,127,191,147,110,157,709,184,124
YGL096W,3,62,6,40,0,13,5,27,12,2,4,1,5,2,2,0,0,6,1,4,6,17,5,1
YGR172C,48,2477,29,499,21,384,34,468,227,78,113,76,79,32,93,37,77,107,101,86,71,529,119,111
YGR194C,167,4017,117,870,74,752,61,890,432,58,352,87,166,14,314,25,249,272,300,214,295,1364,335,280
YGL026C,891,18548,430,4176,281,2749,236,3341,1848,691,1352,1072,802,535,1173,809,804,1549,903,968,1004,5109,878,1031
YGL213C,45,3303,50,803,33,554,39,715,195,27,104,45,97,13,113,20,93,166,117,163,159,915,159,204
YGL248W,21,1184,20,299,21,180,16,292,74,9,67,17,32,3,47,9,30,32,40,53,38,260,46,73
YGL075C,14,980,16,213,9,132,13,208,62,1,46,9,32,5,62,1,27,36,48,52,46,268,53,32
YGL256W,65,2868,73,716,36,591,44,759,216,13,184,25,122,19,275,24,77,102,77,92,178,748,221,147
YGL012W,370,5010,153,1310,181,1591,210,1985,697,264,727,515,526,417,914,636,462,696,578,574,885,4855,964,1051
YGL082W,108,3146,65,795,57,596,54,872,208,29,198,74,128,20,210,33,136,149,136,147,200,966,172,169
YGR161C,1,276,2,52,5,124,6,184,12,0,6,6,6,0,5,0,1,6,2,6,6,56,5,12
YGR274C,220,6951,132,1487,74,932,126,1309,371,18,357,30,237,6,426,19,312,493,328,424,397,2005,451,435
YGR031C-A,0,17,1,6,0,10,1,4,5,0,0,0,1,0,1,0,0,1,0,0,0,8,3,3
YGL037C,500,5360,301,1276,190,2710,223,2809,1260,253,868,430,515,138,944,256,862,597,830,437,962,4645,915,824
YGL252C,153,5629,145,1851,42,840,136,1907,169,42,325,153,71,9,388,82,115,241,246,373,115,1158,342,495
YGL250W,101,1139,27,283,19,210,22,299,277,31,151,25,70,11,115,14,132,118,148,135,84,430,147,102
YGR260W,240,9762,365,2283,242,2159,257,2806,660,100,428,213,372,115,582,157,363,485,450,420,674,3301,678,734
YGR159C,330,25419,464,6107,487,5123,500,8191,842,197,542,283,633,103,920,284,209,612,395,600,601,3795,766,1223
YGR006W,5,407,10,90,7,66,2,95,17,0,9,2,6,0,22,0,7,14,5,9,8,58,17,15
YGL121C,55,580,47,130,8,54,3,61,276,75,131,143,29,20,38,42,127,134,124,67,61,205,55,41
YGL040C,194,8875,208,1892,108,1524,113,2196,1209,257,538,451,274,141,500,237,273,471,407,353,343,2030,331,486
YGR130C,25,4146,371,818,111,755,198,1257,86,41,80,47,45,10,75,28,60,52,51,35,44,349,52,90
YGR021W,220,2829,111,663,64,521,48,654,573,110,345,314,202,55,307,122,310,408,259,284,203,1090,284,242
YGR097W,4,1702,51,246,16,188,56,270,25,5,5,0,19,0,19,5,11,20,11,11,4,74,10,21
YGL170C,7,29,0,14,0,5,0,2,7,3,9,6,2,0,3,0,7,12,10,2,6,18,4,0
YGL166W,179,1751,43,466,56,419,32,592,275,13,186,35,219,6,320,18,204,188,194,107,333,894,325,203
YGL104C,50,1011,41,247,17,147,13,201,142,25,101,41,42,9,92,16,103,87,98,59,96,335,86,78
YGR149W,3,551,17,103,5,49,13,78,12,1,9,0,2,0,2,0,1,2,4,5,6,21,1,6
YGR195W,3,1899,26,449,23,355,41,570,31,1,20,5,14,2,9,4,4,9,7,16,15,166,11,47
YGR250C,797,34075,652,7512,226,3113,276,4195,2224,154,1843,339,556,60,1200,82,1195,1635,1155,1326,1038,5133,1091,1170
YGL155W,27,2607,46,630,30,430,34,659,174,9,72,24,52,8,89,23,47,76,59,78,99,511,94,110
YGL216W,59,3040,49,663,76,449,48,621,90,12,83,5,74,4,133,10,54,78,47,62,104,508,115,114
YGR029W,299,1993,68,537,51,359,25,500,595,168,402,436,200,124,351,242,415,555,339,353,249,1459,336,307
YGL125W,13,1053,58,190,15,88,35,164,16,0,3,3,13,2,4,8,12,7,6,11,16,42,14,10
YGR038W,10,813,21,165,6,149,10,198,41,7,22,8,11,7,16,12,21,27,23,18,11,106,15,51
YGR008C,1497,3810,429,1203,276,1315,272,1242,1611,238,2053,576,1160,158,2562,270,2066,906,2065,693,1888,3830,2662,637
YGR248W,6,82,9,13,3,22,5,28,23,0,6,11,4,0,7,0,6,1,3,1,4,12,2,0
YGL094C,113,5846,178,1173,114,745,99,1106,225,30,222,40,101,18,211,29,103,192,127,167,178,1030,209,171
YGR131W,6,60,1,23,2,24,4,32,24,0,11,3,13,1,12,2,13,8,5,3,13,31,18,11
YGR163W,105,3237,60,780,57,572,42,768,335,42,218,38,151,31,304,25,173,233,155,198,236,1036,263,206
YGR125W,105,6121,157,1450,142,1034,131,1389,324,27,283,45,183,9,314,33,112,210,157,190,230,1420,249,358
YGR279C,102,3893,299,724,182,728,209,943,262,179,144,172,185,168,207,247,113,186,136,88,140,1055,181,262
YGL022W,280,11290,477,2838,295,1999,322,2548,789,241,599,417,394,190,603,389,222,346,422,276,422,2057,437,605
tD(GUC)G2,2,19,0,4,0,3,0,6,6,1,0,0,7,0,2,1,1,3,2,1,9,14,5,1
YGR271W,72,6767,198,1373,98,804,135,1339,200,17,224,33,115,7,202,10,84,140,128,158,152,916,156,230
YGL025C,17,1304,42,313,23,223,42,256,24,6,13,8,14,2,25,1,19,24,16,23,19,111,21,29
YGL176C,21,1784,38,407,21,220,34,366,83,3,62,6,31,3,71,5,27,55,40,47,76,314,62,80
YGR031W,300,6640,107,1516,66,1013,87,1206,892,31,445,68,324,23,470,38,421,615,449,418,418,2039,509,446
YGL102C,0,2,0,5,0,2,2,1,2,2,1,2,1,1,2,5,1,0,0,0,0,5,1,1
YGR182C,219,6486,113,1630,92,1403,81,1516,531,86,645,279,313,46,618,150,288,464,572,377,515,2866,746,499
YGL113W,15,1284,45,308,23,159,44,374,24,5,27,9,18,4,42,2,21,20,16,33,39,247,27,37
YGR188C,61,958,24,242,13,160,21,244,82,3,52,12,44,0,67,5,46,59,44,45,60,271,100,79
YGL162W,5,182,8,44,9,65,19,99,13,3,5,0,23,1,20,1,5,4,10,9,13,65,28,10
YGL084C,135,5203,153,1135,64,962,70,1081,357,69,237,133,116,33,226,42,130,160,145,126,171,799,152,170
snR10,2,6,1,7,0,4,1,8,5,0,2,0,1,0,0,4,0,2,5,0,3,20,4,3
YGL196W,309,9320,174,1942,105,1200,104,1594,703,123,464,188,275,58,515,99,408,615,421,445,441,2085,410,460
RME3,3,89,3,17,1,17,2,28,11,0,2,0,1,0,10,0,2,11,3,0,3,31,8,6
YGR230W,19,1128,26,269,10,277,12,336,112,20,90,46,29,19,47,33,44,85,54,69,50,522,54,93
YGR084C,54,3473,104,813,30,578,60,927,182,50,93,83,60,12,112,35,70,122,72,121,75,496,92,100
YGL222C,8,512,25,84,8,79,15,125,12,1,11,2,8,0,11,2,9,6,9,6,4,53,7,12
YGR166W,20,2107,20,443,18,251,28,372,59,0,46,4,28,0,84,0,43,51,44,32,57,231,46,54
YGR122C-A,6,143,8,34,1,30,8,41,11,2,11,7,3,2,10,9,8,10,4,8,4,36,13,12
YGR152C,49,1557,12,320,28,267,13,394,102,5,64,17,66,4,119,3,51,99,48,71,101,386,83,74
YGL210W,15,1623,53,412,25,237,40,432,50,4,14,7,27,3,36,14,15,20,19,24,39,218,24,34
YGR157W,1086,18604,667,4415,257,1380,273,2133,2307,603,1990,1293,597,332,1162,615,1064,1469,1483,1202,761,3157,835,940
YGL240W,21,848,14,195,9,125,7,162,55,0,33,3,30,0,60,1,20,58,37,38,36,196,41,58
YGR085C,266,16101,481,3425,366,2828,383,3864,1107,273,285,405,439,188,514,364,255,397,241,392,403,3124,420,595
YGR237C,16,1695,65,374,33,274,48,381,75,7,49,4,37,2,64,5,63,38,50,41,63,378,79,38
YGL146C,117,3446,46,778,21,327,23,375,287,26,207,26,90,11,170,17,202,226,194,155,116,490,151,129
YGL153W,28,2212,49,576,33,342,39,517,153,50,105,67,67,15,108,28,49,110,70,87,85,628,65,143
YGR075C,31,700,7,161,6,110,9,127,53,4,35,4,45,0,57,2,32,54,30,39,38,198,63,40
tT(UGU)G2,8,53,0,22,0,9,0,9,18,13,5,14,12,11,7,13,7,18,12,12,12,48,9,12
YGL169W,32,3049,86,829,62,565,68,793,80,28,72,27,38,16,88,28,32,87,48,85,94,519,61,130
YGR187C,130,4947,73,1287,56,810,100,1315,251,18,176,49,203,12,361,22,238,306,209,312,312,1597,376,411
YGL167C,226,6275,213,1835,117,902,193,2183,434,67,391,171,214,53,410,93,239,300,328,291,316,1665,390,430
YGR050C,3,122,4,39,1,43,2,57,15,5,13,8,10,11,14,11,3,18,8,14,10,109,11,13
YGR217W,256,8533,190,1801,123,953,145,1309,458,21,463,78,256,9,477,24,240,446,387,353,441,1732,430,477
YGR068C,2,693,11,137,11,111,6,182,17,1,4,1,3,0,3,2,5,6,4,2,3,53,1,5
YGR296W,377,14756,786,2915,42,1862,332,2165,899,148,866,60,459,56,852,142,598,719,516,527,669,2864,694,533
YGR177C,10,408,4,103,17,154,14,203,56,6,23,12,27,6,42,21,27,35,23,29,46,247,64,61
YGL068W,2079,7644,305,1922,225,1695,156,1679,3070,1054,1894,1868,981,625,1284,940,1863,2489,1799,1605,1418,6424,1508,1402
YGL018C,6,289,17,62,2,37,7,95,17,6,10,4,1,0,6,1,3,6,10,11,2,23,8,11
YGL188C,191,3675,69,1126,58,664,35,1102,438,113,374,334,212,123,383,212,162,294,321,340,296,1750,427,386
YGR126W,0,308,7,49,2,35,5,73,3,2,4,0,3,0,5,0,0,0,2,0,1,18,7,2
YGL065C,15,2100,36,442,19,340,45,515,46,5,18,8,20,2,20,8,15,26,15,20,10,145,34,42
YGL014W,30,3348,74,556,66,437,59,779,64,16,58,23,67,12,96,26,36,52,49,40,60,431,55,97
