gene,synthesis_perCell_perMin
YDR162C,0.098833612
YDR312W,0.171791639
YDL231C,0.22220363
YDR190C,0.506261144
YDL035C,0.276856621
YDR257C,0.26501816
YDR450W,0.954399492
YDR376W,0.145089051
YDR161W,0.169568799
YDL237W,0.122399008
YDR188W,1.045890348
YDR531W,0.26799304
YDR226W,0.738325314
YDL205C,0.492994912
YDR496C,0.694691622
YDL108W,0.071903457
YDL147W,0.658183237
YDR283C,0.262961836
YDR261C,0.135131894
YDL074C,0.421246626
YDR346C,0.427741509
YDR242W,0.063354062
YDR323C,0.028340038
YDR486C,0.14543597
YDL122W,0.40890477
YDR481C,0.327183994
YDR279W,0.142406578
YDR281C,0.221848624
YDR179W-A,0.046751623
YDL178W,0.27625441
YDL192W,0.6596763
YDL202W,0.236381787
YDR241W,0.047603016
YDL158C,0.012053225
YDL185W,0.983892223
YDR368W,0.146353177
YDR494W,0.244681141
YDR399W,0.791619518
YDR031W,0.108237346
YDL060W,0.475791783
YDR315C,0.026668337
YDL126C,0.747953688
YDL144C,0.092209388
YDR306C,0.114298439
YDR292C,0.328675647
YDR282C,0.061461967
YDR170C,0.543046172
YDR301W,0.29272039
YDR227W,0.244724548
YDR041W,0.260951901
YDL008W,0.071440205
YDR234W,0.467883439
YDR519W,0.160103797
YDR465C,0.226328813
YDR454C,0.180435049
YDL095W,0.903631271
YDR479C,0.055884475
YDL117W,0.225219612
YDR140W,0.075370574
YDR381W,2.26934727
YDR062W,0.399166463
YDL053C,0.404209817
YDR223W,0.00923626
YDL167C,0.41719662
YDR517W,0.232405913
YDL226C,0.162083709
YDL134C,0.311678343
YDR314C,0.09601445
YDR440W,0.143331516
YDR303C,0.202085122
YDL078C,0.320836172
YDL238C,0.035911293
YDR529C,2.311705972
YDR452W,0.237535726
YDR347W,0.24833534
YDR490C,0.093200551
YDR516C,0.17507033
YDL137W,0.348905169
YDR235W,0.098744066
YDL194W,0.165387069
YDR021W,0.097280277
YDR051C,0.125086314
YDR288W,0.073058917
YDR141C,0.560720396
YDR194C,0.700391265
YDR424C,0.073878141
YDR056C,0.167714969
YDR328C,0.340392208
YDR280W,0.26518319
YDR098C,0.144060516
YDR005C,0.168096737
YDR017C,0.365969654
YDR419W,0.075654707
YDR444W,0.171387646
YDR341C,0.533024724
YDR395W,0.637107468
YDL222C,0.00882541
YDR372C,0.293750401
YDR325W,0.18328262
YDR082W,0.058078636
YDR182W,0.273078511
YDL102W,0.152675313
YDL067C,1.837683134
YDR030C,0.036243218
YDR333C,0.182676811
YDL093W,0.096229673
YDR139C,0.173754108
YDR322C-A,1.093016794
YDL017W,0.052096413
YDL069C,0.074353564
YDL132W,0.304847515
YDR211W,0.450208901
YDR110W,0.17208382
YDR167W,0.128599947
YDR075W,0.101450594
YDR039C,0.282670862
YDL129W,0.112910879
YDL215C,1.160826609
YDR131C,0.058819743
YDR007W,0.038115652
YDR263C,0.039743816
YDR429C,0.647322641
YDR421W,0.126915616
YDL029W,0.394383035
YDR369C,0.077875255
YDR088C,0.098065412
YDR411C,0.082305723
YDL059C,0.021946916
YDR016C,0.105840958
YDR430C,0.228625015
YDR374W-A,0.060967565
YDR459C,0.06007636
YDR217C,0.121516226
YDL027C,0.074133253
YDR104C,0.108771624
YDL136W,0.892355181
YDR248C,0.071402634
YDR068W,0.077586244
YDL080C,0.079443889
YDR461C-A,0.135304443
YDR181C,0.098535094
YDL200C,0.062181212
YDR108W,0.119316798
YDR337W,0.368372452
YDR356W,0.202722578
YDL235C,0.367466587
YDR210W-B,0.052980695
YDR210C-D,0.069337499
YDR316W-B,0.1480028
YDR365W-B,0.084058123
YDR098C-B,0.096451957
YDR034C-D,0.165512425
YOR185C,0.036860079
YOL048C,0.080808946
YOL144W,0.139637449
snR8,0.207306023
YOR385W,0.19557024
YOL119C,0.201846099
YOR019W,0.019499576
YOR206W,1.144245261
YOR341W,1.587172911
YOL088C,0.131724272
YOR084W,0.297250231
YOR039W,0.371929632
YOR281C,0.155320368
YOR230W,0.265430621
YOL081W,0.950422411
YOR285W,0.401236666
YOR270C,0.974720687
YOL154W,0.007186737
YOR115C,0.159033195
YOL003C,0.05442216
YOR258W,0.030094757
YOL103W,0.302394786
YOR215C,0.173990566
YOL063C,0.158260037
YOR389W,0.012336794
YOR021C,0.214114634
YOL038W,0.406725817
YOL124C,0.174970513
YOR212W,0.015934155
YOL120C,1.604853564
YOR181W,0.020699921
YOR335C,1.068004682
YOL122C,0.146570032
YOR157C,0.28246436
YOR274W,0.092167468
YOR093C,0.16995423
YOL065C,0.079581822
YOR207C,0.521366274
YOL020W,0.537625877
YOL053W,0.122836662
YOR038C,0.151956847
YOR137C,0.074856946
YOL034W,0.139841128
YOR052C,1.389246224
YOR190W,0.009085619
YOL090W,0.226561812
YOR173W,0.042017813
YOR059C,0.106604695
YOL149W,0.111664245
YOR121C,0.007559233
snR9,0.359867232
YOR099W,0.210439179
YOR204W,1.773394082
YOR209C,0.572488305
YOR036W,0.134394334
YOR154W,0.116072974
YOR048C,0.380640044
YOL073C,0.082930991
YOL152W,0.028015807
YOR227W,0.052307173
YOR159C,0.223863308
YOR112W,0.204825815
YOR229W,0.076422885
YOR251C,0.080828537
YOR130C,0.060580823
YOR119C,0.354558907
YOR008C,0.703188369
YOR266W,0.085365462
YOR308C,0.168935392
YOL151W,1.161665917
YOR330C,0.374906046
YOR142W,1.451710311
snR81,0.064846946
YOR017W,0.188700866
YOR002W,0.225573125
YOR194C,0.220562257
YOL069W,0.053496238
YOR346W,0.093441426
YOR174W,0.127490265
YOR336W,0.202166975
YOR122C,0.462958615
YOR256C,0.206344835
YOR350C,0.106182442
YOR196C,0.252308651
YOR369C,2.358015247
YOR296W,0.130299957
YOR260W,0.208938386
YOL042W,0.155043325
YOR316C,0.335110458
YOR326W,0.696365864
YOR332W,0.152892466
YOL002C,0.094801582
YOR243C,0.381741036
YOR126C,0.055734986
YOR328W,0.061195406
YOL056W,0.052216535
YOL110W,0.052609333
YOR213C,0.11539767
YOR253W,0.09736968
YOL113W,0.097048546
YOR060C,0.048716787
YOL076W,0.24773177
YOR381W,0.050003709
YOR273C,0.466912635
YOR069W,0.226463925
YOR075W,0.074150402
YOR124C,0.280332116
snR31,0.413213913
YOR057W,0.129913596
YOR239W,0.269463807
YOR317W,0.694211769
YOR370C,1.883407202
YOR211C,0.417963501
YOR191W,0.423653507
YOL064C,0.190565577
YOL049W,0.260982728
YOL043C,0.059307342
YOR104W,0.044568687
YOR386W,0.074207778
snR17a,2.927853046
YOL155C,0.034136211
YOR375C,2.674985583
snR35,0.160304827
YOR100C,0.079691547
YOR026W,0.086870794
YOR272W,0.483445841
snR36,0.044351914
YOR035C,0.503396493
YOL016C,0.197373727
YOR007C,1.222358441
YOR361C,1.384920524
YOL158C,0.05778207
YOR384W,0.057976858
YOR234C,1.403310587
YOR283W,0.134077726
YOL045W,0.05092966
YOR360C,0.193469715
YOL097C,0.454091662
YOR164C,0.079722498
YOR175C,0.180852738
YOR086C,0.421456862
YOR155C,0.12733311
YOR323C,0.308942673
YOL017W,0.079776032
YOR233W,0.120198377
YOL010W,0.330090343
YOR118W,0.11360583
YOL125W,0.176663999
YOL004W,0.408745931
YOR166C,0.09644995
YOR006C,0.191915122
YOR324C,0.243126196
YOR033C,0.094779564
YOL033W,0.111898092
YOL070C,0.174722923
YOR116C,1.72639314
YOR192C,0.017584129
YOL109W,10.00574072
YOR131C,0.141801783
YOR368W,0.065793637
YOR168W,0.724416218
YOR334W,0.053750477
YOR241W,0.233189054
YOR245C,0.085959457
YOR153W,2.371961649
YOL145C,0.419200128
YOL044W,0.072715209
YOR054C,0.068421052
YOL031C,0.14900766
YOR306C,0.177844418
YOR261C,0.481269072
YOR293W,1.249349251
YOR067C,0.116037923
YOR197W,0.137810484
YOR262W,0.092064666
YOR167C,2.921770824
YOR393W,0.00292602
YOL087C,0.237680768
YOR127W,0.279801511
YOR184W,0.175792263
YOR340C,0.547674476
YOR217W,0.285105023
YOL006C,0.177807023
YOR259C,0.509993912
YOR320C,0.128013384
YOR222W,0.115382018
YOL022C,0.195717102
YOR278W,0.105025387
YOL078W,0.158565506
YOR089C,0.208893717
YOL098C,0.518745808
YOR171C,0.400161163
YOR095C,0.500785949
YOL146W,0.037118896
YOR046C,0.346409591
YOR388C,0.033853373
YOR228C,0.093501694
YOL112W,0.078432674
YOL143C,0.127956109
YOR172W,0.136705067
YOR149C,0.151838903
YOL164W,0.030004214
YOR011W,0.034946908
YOR071C,0.050463645
YOR022C,0.158758734
YOR125C,0.076816718
YOL141W,0.107255627
YOR383C,0.092015497
YOR056C,0.285373829
YOL075C,0.150978596
YOR246C,0.18317176
YOR042W,0.231991729
YOR176W,0.227442711
YOR063W,3.80652756
YOL129W,0.130993228
YOR280C,0.096737937
YOR037W,0.098082824
YOR313C,0.03812646
YOR158W,0.202206773
YOL061W,0.663238003
YOR232W,0.314351412
YOR110W,0.121508786
YOR040W,0.056134662
YOL083W,0.033774669
YOL130W,0.541621823
YOL021C,0.497082063
YOL077W-A,0.703676961
YOR319W,0.094439923
YOR291W,0.264180779
YOR249C,0.067334939
YOR362C,0.589812058
YOL058W,0.026006017
YOR143C,0.108477054
YOL157C,0.027868413
YOL057W,0.203935775
YOR321W,0.104377974
YOR111W,0.067197453
YOR279C,0.054182121
YOL055C,0.074610165
snR5,0.128154994
YOL139C,0.78375336
YOR287C,0.144425926
YOR034C,0.090939707
YOR348C,1.553661559
YOL115W,0.09283474
YOR356W,0.362764714
YOR357C,0.095721256
YOR276W,0.728238008
snR50,0.040723437
YOR269W,0.078661932
YOR103C,0.125509768
YOR377W,0.04245157
YOR051C,0.156397932
YOR003W,0.026141192
YOR064C,0.165540567
YOR201C,0.276634827
YOL018C,0.06009111
YOR087W,0.119047679
YOL086C,5.515778926
YOL108C,0.107081326
YOR165W,0.148602683
YOL068C,0.281322421
YOR138C,0.266204561
YOR016C,0.190159329
YOR080W,0.060812504
YOR109W,0.277575921
YOR147W,0.409876
YOR254C,0.576043347
YOL080C,0.243581198
YOR192C-C,0.006487998
YOR195W,0.189942718
YOL123W,0.453773661
YOR097C,0.053608739
YOL086W-A,0.082408493
YOR289W,0.058227688
YOR304W,0.26949069
YOR117W,0.57111086
YOL066C,0.165064708
YOR396W,0.322571751
YOR151C,0.771798458
YOR187W,1.003226367
YOR005C,0.066619722
YOR244W,0.176640338
YOL102C,0.049696379
YOL116W,0.185814197
YOR353C,0.114574081
YOR096W,1.189028523
YOR148C,0.040604345
YOR257W,0.134419041
YOR223W,0.048603833
YOR061W,0.952257638
YOL140W,0.218035317
YOL062C,0.274407651
YGL156W,0.06858841
YGR162W,1.226253407
YGL160W,0.171831504
snR46,0.270801591
YGL211W,0.232107176
YGR141W,0.088134169
YGL097W,0.360156439
YGR186W,0.295343259
YGL021W,0.104678216
YGL110C,0.109596694
YGL017W,0.077518459
YGR197C,0.073537524
YGL107C,0.28926804
YGL168W,0.003353612
YGL050W,0.106174321
YGL145W,0.116870078
YGL098W,0.064124216
YGR172C,0.124625485
YGR194C,0.150681773
YGL026C,0.646268095
YGL213C,0.146280548
YGL248W,0.065742623
YGL075C,0.042939475
YGL256W,0.268056926
YGL012W,0.236937829
YGL082W,0.180422979
YGR274C,0.220470878
YGL037C,0.450692803
YGL252C,0.291213133
YGL250W,0.054821287
YGR260W,0.517119025
YGL121C,0.023767647
YGL040C,0.490699463
YGR021W,0.12558964
YGL166W,0.127214261
YGL104C,0.034723355
YGR250C,0.973296463
YGR029W,0.096165927
YGR008C,0.624060685
YGL094C,0.282586528
YGR163W,0.140398486
YGR125W,0.313996499
YGR279C,0.184863686
YGL022W,0.975855857
YGL176C,0.094362283
YGR031W,0.25802588
YGR182C,0.564909242
YGL196W,0.316713909
YGR230W,0.151783021
YGR152C,0.090303646
YGR157W,0.390732627
YGL146C,0.117357439
YGL153W,0.119743506
tT(UGU)G2,0.017620997
YGR187C,0.213407339
